Function,Dimension,Algorithm,best,worst,mean,std,median,iqr
Ackley,30,DE,3.552713678800501e-15,1.4210854715202004e-14,6.217248937900877e-15,3.076740298213702e-15,7.105427357601002e-15,3.552713678800501e-15
Ackley,30,TEMOA_V10,7.105427357601002e-15,1.4210854715202004e-14,9.473903143468002e-15,3.498470589969791e-15,7.105427357601002e-15,7.105427357601002e-15
Ackley,30,TEMOA_V11,1.0658141036401503e-14,1.7763568394002505e-14,1.4210854715202004e-14,2.142366956389904e-15,1.4210854715202004e-14,0.0
Ackley,30,jSO,1.0302869668521453e-13,1.77280412572145e-12,6.539953763725256e-13,5.145037276401531e-13,4.689582056016661e-13,6.252776074688882e-13
Ackley,30,LSHADE,1.1866063687193673e-12,7.016609515630989e-12,3.930485566646287e-12,2.1906172676514408e-12,3.799627279477136e-12,4.106937012693379e-12
Ackley,30,SCA,3.7362705296417964,5.923074204593323,4.6241437220249315,0.6258039542069259,4.433373024805226,0.6886668631756026
Ackley,30,PSO,2.4958677726998673,12.845074305214542,9.330686858350953,2.7501653280710823,10.468816515938686,2.446581982894676
Ackley,30,PSO_orig,13.087312729948653,17.99827462976966,15.983395105189148,1.7171168659122051,16.409533679859898,2.502075923579808
Ackley,30,GWO,17.706295601069233,19.505643772704843,18.534115378458626,0.45105793614593187,18.57433033454791,0.4644470078757621
Ackley,30,HHO,19.397378093438036,20.02816184587276,19.61432507878526,0.1707793065974781,19.60423647716153,0.21483047989304183
Ackley,30,HHO_orig,19.342259606289268,20.042646936627985,19.751498538490534,0.20415175582237527,19.77077061954941,0.27529548656672986
Ackley,30,WOA,19.35000614554117,20.214017076023946,19.848868230404673,0.24759597459567537,19.826477745747347,0.3631314471221252
BentCigar,30,TEMOA_V10,0.017714490589668674,312.7856892522041,45.39485795786715,96.9336361127442,2.4599931821606487,17.51113064242774
BentCigar,30,LSHADE,1.078970154057117,298.30928044595595,51.44496881220952,80.26489414936533,30.51202631589997,20.601590105604824
BentCigar,30,TEMOA_V11,0.8039867847081256,202.48737180078646,71.26867830451916,68.52286490696953,37.013935740287906,91.07065383036212
BentCigar,30,jSO,3.089183773248848,227.53566976170438,81.39298575369303,68.75578763480345,79.92261814649542,91.1980365742935
BentCigar,30,DE,49.891916465461875,6366.841391394462,1958.321642183538,1907.1637596149171,1492.983580074434,2448.182948746762
BentCigar,30,HHO,3687023.3312568637,23034271.61683223,7520519.552686684,5103905.665538858,5954355.064160772,3117853.2130116867
BentCigar,30,SCA,80406853.2014498,279685008.83100283,154141955.8812522,75116800.08162342,122271048.64126518,117669891.24663052
BentCigar,30,PSO,3638.561866379891,7649791344.165108,2106327897.7177474,2766072361.762892,1220362634.426823,2439304373.811609
BentCigar,30,PSO_orig,6780194805.148694,26559663312.880943,14405716697.187246,6190627419.826395,14503848835.972424,7614846280.955606
BentCigar,30,GWO,13292411521.757547,20990100807.35935,16191775711.384155,2173381901.302675,15783278467.808746,3003172640.990925
BentCigar,30,WOA,15026684160.24226,34984307711.67092,23921714952.92185,5722389495.846727,23778204896.91194,7249198774.721081
BentCigar,30,HHO_orig,16396118613.382692,34292006625.990665,23702532011.474438,5068065281.16188,23936076769.310215,5310192382.079071
Composition,30,TEMOA_V10,0.0,5.329070518200852e-15,1.332267629550211e-15,2.0218144775423737e-15,0.0,1.7763568394002757e-15
Composition,30,DE,0.0,1.0658141036401907e-14,3.108624468950514e-15,3.22468929098116e-15,2.6645352591004136e-15,5.329070518200859e-15
Composition,30,TEMOA_V11,3.552713678800547e-15,1.0658141036401995e-14,7.105427357601212e-15,2.512147933894182e-15,7.105427357601166e-15,2.664535259100532e-15
Composition,30,jSO,1.1546319456106566e-13,5.879741138427828e-13,3.258134502938087e-13,1.530845588246151e-13,3.081979116362997e-13,2.682298827500755e-13
Composition,30,LSHADE,9.166001291336857e-13,8.203215884602645e-12,3.604079997473612e-12,2.3144092780592116e-12,2.815525590479136e-12,2.207123373008911e-12
Composition,30,HHO,3.3060333377850606,6.5200321117212745,4.881779722093886,1.0622165113522644,4.875514632264707,1.3438790224238373
Composition,30,SCA,51.100131373048434,211.13052887180936,87.52472758744608,47.244928453680934,69.23376243359857,39.34473929939357
Composition,30,PSO,3.552713678800583e-15,3841.734729531851,958.6978330427322,1070.5935846006316,646.2118945425227,697.4973445756973
Composition,30,GWO,7514.175746331629,11838.527351194358,9194.6346272344,1366.801692649107,9079.44505055806,1963.2975702166932
Composition,30,WOA,5309.418639540509,19101.51664549676,10791.964031554531,3975.5460261818503,10487.803988372958,4795.963040266664
Composition,30,PSO_orig,5066.686414336123,14080.455484337494,10699.092805863675,3358.6210071052246,11730.865166413247,4606.403640165545
Composition,30,HHO_orig,7183.105062429294,16915.790729432174,11772.744809285978,2769.1991889007636,11742.032617596062,2398.034151340198
DynamicSphere,30,DE,325.4677488582808,620.2711025865708,480.0799576988186,77.61474823546196,480.9640322535664,89.23053405782883
DynamicSphere,30,TEMOA_V10,513.9633868141781,772.0120972449406,665.9281509141346,94.13843534250528,685.1225630861263,155.29238204042645
DynamicSphere,30,TEMOA_V11,833.4874215373791,1523.6135459984616,1150.614404350833,199.87970844986938,1140.6339180630844,141.06940101805503
DynamicSphere,30,HHO,912.2856480921557,1885.8730230089247,1488.3460450054472,268.66482101747846,1521.099029536465,207.02528464398415
DynamicSphere,30,jSO,2241.5493281986824,2834.794702675471,2473.149373661928,182.29744939286948,2477.97483748371,243.33946740867577
DynamicSphere,30,PSO,687.6430005616612,14900.213214270048,3711.445391095249,3838.3034433129437,2599.0119212194313,1547.5888458692882
DynamicSphere,30,LSHADE,2673.842828325622,3033.9778469497646,2889.045360294663,115.87430886747579,2917.456105258784,136.55387067617858
DynamicSphere,30,SCA,8861.472511325344,10878.20394864002,9807.980961602389,747.9280911476462,9635.572542524736,1281.4743279895138
DynamicSphere,30,WOA,19533.044218978797,32308.877401113354,25480.069662797847,5066.423591746767,23603.945364748535,10339.317958388408
DynamicSphere,30,GWO,20512.0417563142,37728.03385059995,26059.53514818889,6019.182207007172,23770.769593122208,8120.582529748674
DynamicSphere,30,PSO_orig,13234.423917429922,29608.40410783546,22411.444110814195,4459.25097496473,24009.716973860857,5038.954935005058
DynamicSphere,30,HHO_orig,25213.234131223653,42619.3639434039,35400.82306581279,6116.936007723296,36038.99456287123,9101.286429092776
Griewank,30,DE,0.0,1.1102230246251565e-16,9.25185853854297e-18,3.204937810639273e-17,0.0,0.0
Griewank,30,TEMOA_V10,0.0,0.00985728460782076,0.0008214403839850634,0.002845552960902035,0.0,0.0
Griewank,30,TEMOA_V11,0.0,0.007396040334115117,0.000616336694509593,0.002135052938919346,0.0,0.0
Griewank,30,LSHADE,0.0,4.440892098500626e-16,1.4802973661668753e-16,1.853732966987036e-16,5.551115123125783e-17,3.3306690738754696e-16
Griewank,30,jSO,0.0,1.1102230246251565e-16,7.401486830834377e-17,5.4663602968277986e-17,1.1102230246251565e-16,1.1102230246251565e-16
Griewank,30,HHO,0.5262226734328372,0.8139473563900501,0.6957090161731329,0.09598979700165573,0.7261954779059755,0.14331473242439807
Griewank,30,SCA,1.6602597289968668,5.882531805531841,2.4880039731520074,1.1856442614864384,2.1263129236181095,0.7320636172273995
