comparison,rank_diff,z,p_raw,p_holm
TEMOA_V11 vs HHO_orig,-9.25,-6.284137539502507,3.2967874197806995e-10,3.6264661617587692e-09
TEMOA_V11 vs WOA,-8.833333333333332,-6.001068280966357,1.9602353074496676e-09,1.9602353074496676e-08
TEMOA_V11 vs GWO,-7.833333333333332,-5.321702060479599,1.0280084075425797e-07,9.252075667883217e-07
TEMOA_V11 vs PSO_orig,-7.166666666666666,-4.868791246821762,1.1228294351787742e-06,8.982635481430193e-06
TEMOA_V11 vs SCA,-5.083333333333334,-3.4534449541410175,0.000553475247812043,0.0038743267346843012
TEMOA_V11 vs HHO,-5.0,-3.3968311024337874,0.0006817102933708383,0.00409026176022503
TEMOA_V11 vs PSO,-4.833333333333334,-3.283603399019328,0.0010248904043448762,0.005124452021724381
TEMOA_V11 vs DE,-1.875,-1.2738116634126704,0.20273017064652243,0.8109206825860897
TEMOA_V11 vs LSHADE,-1.583333333333333,-1.075663182437366,0.28207791905653623,0.8462337571696087
TEMOA_V11 vs TEMOA_V10,-0.375,-0.25476233268253407,0.7989066696432698,0.8560288998695105
TEMOA_V11 vs jSO,-1.1666666666666665,-0.792593923901217,0.42801444993475524,0.8560288998695105
