Algorithm,Dimension,mean,std
DE,30,6.544662377965275,2.544513434011679
GWO,30,5.0667182637013894,2.0004099612561417
HHO,30,2.7254226820347043,1.1586238730513971
HHO_orig,30,2.3013502611597167,0.9622193618879571
LSHADE,30,1.9361951395902963,0.993421628153755
PSO,30,3.3637789970416825,1.396124172919143
PSO_orig,30,2.72784213760415,1.123817241729234
SCA,30,4.7887687328749955,1.6399069476865185
TEMOA_V10,30,2.9836075988263957,0.9327958573976832
TEMOA_V11,30,2.4330834727152726,0.8921572850324557
WOA,30,2.5802872577013876,1.098678635462308
jSO,30,1.8886395207569313,0.9309974229832771
