Algorithm,Function,Dimension,Run,Error,Seconds,FES,Overrun
TEMOA_V10,F1,10,0,0.0,5.198983451000004,100000,0
TEMOA_V10,F1,10,1,0.0,5.246858043999964,100000,0
TEMOA_V10,F1,10,2,0.0,5.151087052999856,100000,0
TEMOA_V10,F1,10,3,0.0,5.353995964999967,100000,0
TEMOA_V10,F1,10,4,0.0,5.119839649000141,100000,0
TEMOA_V11,F1,10,0,0.0,3.687987929999963,100000,0
TEMOA_V11,F1,10,1,0.0,3.5568559140001526,100000,0
TEMOA_V11,F1,10,2,0.0,3.7686228539998865,100000,0
TEMOA_V11,F1,10,3,0.0,3.5615520520000246,100000,0
TEMOA_V11,F1,10,4,0.0,3.610543686000028,100000,0
jSO,F1,10,0,0.0,2.0361657050000304,100000,0
jSO,F1,10,1,0.0,2.0018628379998518,100000,0
jSO,F1,10,2,0.0,1.77975214900016,100000,0
jSO,F1,10,3,0.0,1.7868717050000669,100000,0
jSO,F1,10,4,0.0,1.8714272879999498,100000,0
LSHADE,F1,10,0,0.0,1.9475988550000238,100000,0
LSHADE,F1,10,1,0.0,1.8575007869999354,100000,0
LSHADE,F1,10,2,0.0,1.9342292019998695,100000,0
LSHADE,F1,10,3,0.0,2.080125943999974,100000,0
LSHADE,F1,10,4,0.0,2.0603091749999294,100000,0
BIPOP_CMAES,F1,10,0,0.0,13.010139228999833,100000,0
BIPOP_CMAES,F1,10,1,0.0,11.7054871549999,100000,0
BIPOP_CMAES,F1,10,2,0.0,13.549711700999978,100000,0
BIPOP_CMAES,F1,10,3,0.0,11.426904992000118,100000,0
BIPOP_CMAES,F1,10,4,0.0,10.171998172999793,100000,0
IPOP_CMAES,F1,10,0,0.0,9.411345304000179,100000,0
IPOP_CMAES,F1,10,1,0.0,9.905235235999953,100000,0
IPOP_CMAES,F1,10,2,0.0,8.874758418000056,100000,0
IPOP_CMAES,F1,10,3,0.0,10.694896891000099,100000,0
IPOP_CMAES,F1,10,4,0.0,11.17804172000001,100000,0
CMAES,F1,10,0,0.0,18.17623629400009,100000,0
CMAES,F1,10,1,0.0,18.840570743999933,100000,0
CMAES,F1,10,2,0.0,17.461635974000046,100000,0
CMAES,F1,10,3,0.0,17.8937258389999,100000,0
CMAES,F1,10,4,0.0,17.17203176299995,100000,0
sepCMAES,F1,10,0,65.89766771811185,14.58826687099986,100000,0
sepCMAES,F1,10,1,420.9427724737502,14.074860728999965,100000,0
sepCMAES,F1,10,2,439.33179770219135,14.96361082999988,100000,0
sepCMAES,F1,10,3,0.416793127645974,13.163976124999863,100000,0
sepCMAES,F1,10,4,336.5462927045026,13.372801983000045,100000,0
TEMOA_V10,F3,10,0,0.0,5.380487027000072,100000,0
TEMOA_V10,F3,10,1,0.0,5.667189280000002,100000,0
TEMOA_V10,F3,10,2,0.0,5.5766784630000075,100000,0
TEMOA_V10,F3,10,3,0.0,5.343713993000165,100000,0
TEMOA_V10,F3,10,4,0.0,5.288292081999998,100000,0
TEMOA_V11,F3,10,0,0.0,3.8339246569998977,100000,0
TEMOA_V11,F3,10,1,0.0,4.041721719999941,100000,0
TEMOA_V11,F3,10,2,0.0,4.057952470000146,100000,0
TEMOA_V11,F3,10,3,0.0,3.685772326999995,100000,0
TEMOA_V11,F3,10,4,0.0,4.092215159000034,100000,0
jSO,F3,10,0,0.0,2.2837050239998007,100000,0
jSO,F3,10,1,0.0,2.244730874000197,100000,0
jSO,F3,10,2,0.0,2.2089880080000057,100000,0
jSO,F3,10,3,0.0,2.228096566999966,100000,0
jSO,F3,10,4,0.0,2.2242202219999854,100000,0
LSHADE,F3,10,0,0.0,2.1731235160000324,100000,0
LSHADE,F3,10,1,0.0,2.248263783999846,100000,0
LSHADE,F3,10,2,0.0,2.2482744900000853,100000,0
LSHADE,F3,10,3,0.0,2.1426703060001273,100000,0
LSHADE,F3,10,4,0.0,2.2456857590000254,100000,0
BIPOP_CMAES,F3,10,0,0.0,9.955832971000063,100000,0
