Function,Dimension,Algorithm,best,worst,mean,std,median,iqr
F1,10,BIPOP_CMAES,0.0,0.0,0.0,0.0,0.0,0.0
F1,10,CMAES,0.0,0.0,0.0,0.0,0.0,0.0
F1,10,IPOP_CMAES,0.0,0.0,0.0,0.0,0.0,0.0
F1,10,L-SHADE-DGR,0.0,0.0,0.0,0.0,0.0,0.0
F1,10,LSHADE,0.0,0.0,0.0,0.0,0.0,0.0
F1,10,TEMOA_V10,0.0,0.0,0.0,0.0,0.0,0.0
F1,10,TEMOA_V11,0.0,0.0,0.0,0.0,0.0,0.0
F1,10,TEMOA_V12,0.0,0.0,0.0,0.0,0.0,0.0
F1,10,jSO,0.0,0.0,0.0,0.0,0.0,0.0
F1,10,sepCMAES,0.8520113806419687,4294.28359501238,473.0788245533578,906.2285103483276,73.96058716225801,379.5095107670441
F3,10,BIPOP_CMAES,0.0,0.0,0.0,0.0,0.0,0.0
F3,10,CMAES,0.0,0.0,0.0,0.0,0.0,0.0
F3,10,IPOP_CMAES,0.0,0.0,0.0,0.0,0.0,0.0
F3,10,L-SHADE-DGR,0.0,0.0,0.0,0.0,0.0,0.0
F3,10,LSHADE,0.0,0.0,0.0,0.0,0.0,0.0
F3,10,TEMOA_V10,0.0,0.0,0.0,0.0,0.0,0.0
F3,10,TEMOA_V11,0.0,0.0,0.0,0.0,0.0,0.0
F3,10,TEMOA_V12,0.0,0.0,0.0,0.0,0.0,0.0
F3,10,jSO,0.0,0.0,0.0,0.0,0.0,0.0
F3,10,sepCMAES,0.0,0.0,0.0,0.0,0.0,0.0
F4,10,BIPOP_CMAES,0.0,3.986579112347158,0.3127019394351901,1.0824448865508902,0.0,0.0
F4,10,CMAES,0.0,3.986579112347158,0.07816821788915997,0.5582327334421788,0.0,0.0
F4,10,IPOP_CMAES,0.0,3.986579112347158,1.3866364862063902,1.8991438559722278,0.0,3.986579112347158
F4,10,TEMOA_V12,0.0,3.986579112347158,1.7978690114506792,2.0034256529154972,0.0,3.986579112347158
F4,10,sepCMAES,0.0014390146230880418,4.194578701658827,2.024469043341732,1.932937426904743,2.741362408526129,3.9861025150126466
F4,10,L-SHADE-DGR,0.0,3.986579112347158,2.5795511903422788,1.924081745164056,3.986579112347158,3.986579112347158
F4,10,LSHADE,0.0,3.986579112347158,2.8140558440097587,1.8345399626642989,3.986579112347158,3.986579112347158
F4,10,TEMOA_V10,0.0,3.986579112347158,3.3612333692338785,1.464230732720061,3.986579112347158,0.0
F4,10,TEMOA_V11,0.0,3.986579112347158,3.752074458679678,0.9473523631134407,3.986579112347158,0.0
F4,10,jSO,0.0,3.986579112347158,3.0485604976772387,1.7078637605687454,3.986579112347158,0.0
F5,10,IPOP_CMAES,0.0,2.9848771712798907,0.4877250279869147,0.7802039571597804,0.0,0.9949590570932969
F5,10,BIPOP_CMAES,0.0,3.9798362283731876,1.482684085080283,0.9412238850823557,0.994959057093638,0.9949590570932969
F5,10,L-SHADE-DGR,0.0,4.9747952854664845,1.5997380917970656,0.89166166532546,1.9899181141865938,0.9949590570932969
F5,10,TEMOA_V11,0.0,2.9848771712798907,1.5412110884386454,0.6982805402198361,1.9899181141865938,0.9949590570932969
