Function,BIPOP_CMAES,CMAES,IPOP_CMAES,L-SHADE-DGR,LSHADE,TEMOA_V10,TEMOA_V11,TEMOA_V12,jSO,sepCMAES
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.96058716225801
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.0,0.0,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158,0.0,3.986579112347158,2.741362408526129
F5,0.994959057093638,4.9747952854664845,0.0,1.9899181141865938,1.991156923805761,11.939498609481348,1.9899181141865938,1.9899181141865938,1.9899181141865938,4.9747952854664845
F6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,11.529121766745789,14.519233183096503,11.365261151083928,11.529121766745675,12.021213650546656,19.598449600901972,11.856842998069283,11.692982382407536,11.856842998069283,13.290508229922011
F8,10.0,12.0,10.0,6.0,8.000132418803219,18.0,6.0,6.0,8.0,14.0
F9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F10,15.508439984851975,141.7747484186043,15.244485866953255,6.9548302574612535,7.267779673105906,450.52592466655915,7.017284698500589,7.0797391395399245,7.0172846985033175,41.75640694480899
F11,0.0,0.9949590570932969,0.0,0.0,0.7316915314976313,2.9848771712798907,0.0,0.0,0.0,13.605087106890664
F12,0.20814298464574676,0.0,0.20814298464574676,0.0,0.2081429846455194,109.88050492509751,0.2081429846455194,0.0,0.2081429846455194,3127.8812918264493
F13,4.280148561149645,5.407133707641606,4.280148561149645,4.090153966117214,4.280148561149645,4.280148561149645,4.090150691084318,4.090992944164782,4.090151082144985,320.35823771387254
F14,19.999799587361167,20.994942627154387,18.428606304777304,1.9908051157101454,12.641418078798324,19.999968777877257,5.970219640690857,20.000377848976314,1.3507975933096077,856.8528999244645
F15,0.34138650266345394,1.2002446564206366,0.4999664159529402,0.09268343269241086,0.16512787090528036,1.1900504002830985,0.23956537653157284,0.09946113538035206,0.4079150775335165,1177.840005202716
F16,0.6868823745942336,1.1674089337748228,0.5197556429029646,0.22641231478405643,0.22780528044472703,1.0057212069891648,0.23350780632017631,0.23050760989985974,0.03426267847839881,112.49707093918096
F17,22.395834558010847,23.80134680563856,23.004606515739624,20.283894189816237,20.583622980745076,22.111659647504894,20.308759835017554,20.48856489246873,13.68247131102703,49.33600334488392
F18,20.189701935273888,20.377058882035954,20.173980284721893,0.4684448021598655,0.24323688318963832,20.095061874719704,20.006620223144182,0.48718530568498863,0.34929204534455494,2032.1067427387889
F19,1.035410128245985,1.0904814760497175,1.078820651429396,0.23817598644382088,0.3619556925029883,1.1159048736085424,0.23138726539809795,0.3147359501401752,0.37051298165738444,454.19964200694176
F20,23.980077999678088,24.97841747334519,24.974816841824122,0.5088221653311393,2.2542157327995938,7.554283067811866,0.5169864431763926,0.688647620377651,1.4110176140509338,24.914176832681278
F21,100.0000000000764,100.00000000015689,100.00000000005275,100.00000000000045,100.0,100.0,100.0,100.00000000000045,100.0,100.00000000014506
F22,100.00000000000136,100.00000000000227,100.00000000000091,100.0,100.00000000000045,100.0,100.0,100.00000000000045,100.0,100.00000000000227
F23,100.00000000014052,100.00000000029695,100.00000000009777,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000031469
F24,100.0000000005266,100.00000000085993,200.00000000015234,200.0,200.0,200.0,200.0,200.0,200.0,100.00000000062983
F25,475.6872353956883,475.87912882867477,475.72193542182686,479.1862267241877,479.2203669360915,479.27754560949325,479.24800883415855,479.195438165445,479.195438165445,476.0059772718191
F26,457.50531779372386,457.5002286235176,461.85171355554485,457.5002286234917,467.2704661875837,467.2704661875837,467.2704661875837,457.50022862349215,467.2704661875837,457.5067798529458
F27,390.51703257991676,393.15557694053723,390.51703257983445,390.51703257983445,390.51703257983445,397.3911536921173,394.58581218650534,390.51703257983445,390.51703257983445,394.39162452767505
F28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F29,1030.4697721866214,1048.7481674769415,1032.2328618788242,1040.765951180682,1040.20856292183,1055.3989864855885,1040.687378049564,1042.7827557375158,1041.848416475138,1138.1035065436868
F30,1613.4053341977997,1676.2952374913111,1616.1711938967173,1377.4938465684609,1377.2438885988404,1606.5768744456873,1378.1076106241026,1377.6025567947017,1377.2438885988395,10200.27363638926
