Algorithm,Function,Dimension,Run,Error,Seconds,FES,Overrun
BIPOP_CMAES,F1,10,0,0.0,8.060539613999936,100000,0
BIPOP_CMAES,F1,10,1,0.0,7.506401286999903,100000,0
BIPOP_CMAES,F1,10,2,0.0,6.70625290800001,100000,0
BIPOP_CMAES,F1,10,3,0.0,6.953363493999973,100000,0
BIPOP_CMAES,F1,10,4,0.0,7.628086839000048,100000,0
BIPOP_CMAES,F1,10,5,0.0,7.956926339000006,100000,0
BIPOP_CMAES,F1,10,6,0.0,7.068721273000051,100000,0
BIPOP_CMAES,F1,10,7,0.0,7.35192280199999,100000,0
BIPOP_CMAES,F1,10,8,0.0,7.736724640000034,100000,0
BIPOP_CMAES,F1,10,9,0.0,7.105277240000078,100000,0
BIPOP_CMAES,F1,10,10,0.0,7.477281408000067,100000,0
BIPOP_CMAES,F1,10,11,0.0,7.095008313000108,100000,0
BIPOP_CMAES,F1,10,12,0.0,7.349963376999995,100000,0
BIPOP_CMAES,F1,10,13,0.0,7.520697698999925,100000,0
BIPOP_CMAES,F1,10,14,0.0,7.748081729999967,100000,0
BIPOP_CMAES,F1,10,15,0.0,7.43254604699996,100000,0
BIPOP_CMAES,F1,10,16,0.0,7.475236483999993,100000,0
BIPOP_CMAES,F1,10,17,0.0,7.4808939329999475,100000,0
BIPOP_CMAES,F1,10,18,0.0,7.500909399999955,100000,0
BIPOP_CMAES,F1,10,19,0.0,7.515027477999979,100000,0
BIPOP_CMAES,F1,10,20,0.0,8.013965227999961,100000,0
BIPOP_CMAES,F1,10,21,0.0,7.535093535999977,100000,0
BIPOP_CMAES,F1,10,22,0.0,7.153678592999995,100000,0
BIPOP_CMAES,F1,10,23,0.0,6.747459741000057,100000,0
BIPOP_CMAES,F1,10,24,0.0,8.285123311000007,100000,0
BIPOP_CMAES,F1,10,25,0.0,7.565041423000025,100000,0
BIPOP_CMAES,F1,10,26,0.0,7.17876374399998,100000,0
BIPOP_CMAES,F1,10,27,0.0,6.559603301000038,100000,0
BIPOP_CMAES,F1,10,28,0.0,7.240293135000002,100000,0
BIPOP_CMAES,F1,10,29,0.0,7.668755877999956,100000,0
BIPOP_CMAES,F1,10,30,0.0,7.0327467790000355,100000,0
BIPOP_CMAES,F1,10,31,0.0,7.589994352000076,100000,0
BIPOP_CMAES,F1,10,32,0.0,7.14389001699999,100000,0
BIPOP_CMAES,F1,10,33,0.0,7.137274401000013,100000,0
BIPOP_CMAES,F1,10,34,0.0,7.29311068100003,100000,0
BIPOP_CMAES,F1,10,35,0.0,6.707545950000053,100000,0
BIPOP_CMAES,F1,10,36,0.0,8.018071792,100000,0
BIPOP_CMAES,F1,10,37,0.0,7.327688667000075,100000,0
BIPOP_CMAES,F1,10,38,0.0,7.008565659999931,100000,0
BIPOP_CMAES,F1,10,39,0.0,7.327967588999968,100000,0
BIPOP_CMAES,F1,10,40,0.0,7.395609006999962,100000,0
BIPOP_CMAES,F1,10,41,0.0,7.686959329000047,100000,0
BIPOP_CMAES,F1,10,42,0.0,7.559602327999983,100000,0
BIPOP_CMAES,F1,10,43,0.0,7.304719146000025,100000,0
BIPOP_CMAES,F1,10,44,0.0,6.813290606999999,100000,0
BIPOP_CMAES,F1,10,45,0.0,7.268132219000108,100000,0
BIPOP_CMAES,F1,10,46,0.0,7.973472636999986,100000,0
BIPOP_CMAES,F1,10,47,0.0,6.87531285,100000,0
BIPOP_CMAES,F1,10,48,0.0,7.342463567000095,100000,0
BIPOP_CMAES,F1,10,49,0.0,7.533298018999858,100000,0
BIPOP_CMAES,F1,10,50,0.0,6.870113652999862,100000,0
CMAES,F1,10,0,0.0,10.23519563700006,100000,0
CMAES,F1,10,1,0.0,10.353983076000077,100000,0
CMAES,F1,10,2,0.0,10.4923233049999,100000,0
CMAES,F1,10,3,0.0,10.069461410999793,100000,0
CMAES,F1,10,4,0.0,10.532617153000047,100000,0
CMAES,F1,10,5,0.0,10.218523704000063,100000,0
CMAES,F1,10,6,0.0,10.341709538000032,100000,0
CMAES,F1,10,7,0.0,10.312940212000058,100000,0
CMAES,F1,10,8,0.0,10.578720403000034,100000,0
CMAES,F1,10,9,0.0,10.793779932000007,100000,0
CMAES,F1,10,10,0.0,9.972071107000147,100000,0
CMAES,F1,10,11,0.0,10.193589862999943,100000,0
CMAES,F1,10,12,0.0,10.687062960000048,100000,0
CMAES,F1,10,13,0.0,10.389928207000139,100000,0
CMAES,F1,10,14,0.0,10.624060955000004,100000,0
CMAES,F1,10,15,0.0,10.485224074999905,100000,0
CMAES,F1,10,16,0.0,10.2196426349999,100000,0
CMAES,F1,10,17,0.0,10.246758342000021,100000,0
CMAES,F1,10,18,0.0,10.555835097,100000,0
CMAES,F1,10,19,0.0,10.539583584999946,100000,0
CMAES,F1,10,20,0.0,10.440854471999955,100000,0
CMAES,F1,10,21,0.0,10.410008025000025,100000,0
CMAES,F1,10,22,0.0,10.383807407000177,100000,0
CMAES,F1,10,23,0.0,10.543211434000114,100000,0
CMAES,F1,10,24,0.0,10.449872049000078,100000,0
CMAES,F1,10,25,0.0,10.053942952999932,100000,0
CMAES,F1,10,26,0.0,10.58722227599992,100000,0
CMAES,F1,10,27,0.0,10.263796680000041,100000,0
CMAES,F1,10,28,0.0,10.151450975999978,100000,0
CMAES,F1,10,29,0.0,10.186591120999992,100000,0
CMAES,F1,10,30,0.0,10.263899939999874,100000,0
CMAES,F1,10,31,0.0,10.338018747999968,100000,0
CMAES,F1,10,32,0.0,10.140309261000084,100000,0
CMAES,F1,10,33,0.0,10.165545897999891,100000,0
CMAES,F1,10,34,0.0,10.583671017000142,100000,0
CMAES,F1,10,35,0.0,10.103443149999976,100000,0
CMAES,F1,10,36,0.0,10.612892002999843,100000,0
CMAES,F1,10,37,0.0,10.259389871999929,100000,0
CMAES,F1,10,38,0.0,10.404141108999966,100000,0
CMAES,F1,10,39,0.0,10.28204649899999,100000,0
CMAES,F1,10,40,0.0,10.629454254999928,100000,0
CMAES,F1,10,41,0.0,10.046942124999987,100000,0
CMAES,F1,10,42,0.0,10.440721816000178,100000,0
CMAES,F1,10,43,0.0,10.416214430000082,100000,0
CMAES,F1,10,44,0.0,10.670056076000037,100000,0
CMAES,F1,10,45,0.0,10.256466674999956,100000,0
CMAES,F1,10,46,0.0,10.100573335000036,100000,0
CMAES,F1,10,47,0.0,10.39735801300003,100000,0
CMAES,F1,10,48,0.0,10.322143727000139,100000,0
CMAES,F1,10,49,0.0,10.14853382399997,100000,0
CMAES,F1,10,50,0.0,10.501064776000021,100000,0
IPOP_CMAES,F1,10,0,0.0,5.927639624999983,100000,0
IPOP_CMAES,F1,10,1,0.0,5.984188700000004,100000,0
IPOP_CMAES,F1,10,2,0.0,6.2884898659999635,100000,0
IPOP_CMAES,F1,10,3,0.0,6.6405700889999935,100000,0
IPOP_CMAES,F1,10,4,0.0,6.627120863000073,100000,0
IPOP_CMAES,F1,10,5,0.0,6.294705891999911,100000,0
IPOP_CMAES,F1,10,6,0.0,5.783414705000041,100000,0
IPOP_CMAES,F1,10,7,0.0,6.82948594100003,100000,0
IPOP_CMAES,F1,10,8,0.0,6.61528007600009,100000,0
IPOP_CMAES,F1,10,9,0.0,6.242583552000042,100000,0
IPOP_CMAES,F1,10,10,0.0,6.172281834999922,100000,0
IPOP_CMAES,F1,10,11,0.0,6.765287738000097,100000,0
IPOP_CMAES,F1,10,12,0.0,6.5256341960000555,100000,0
IPOP_CMAES,F1,10,13,0.0,6.240213052999934,100000,0
IPOP_CMAES,F1,10,14,0.0,6.436698247999857,100000,0
IPOP_CMAES,F1,10,15,0.0,6.836245507000058,100000,0
IPOP_CMAES,F1,10,16,0.0,6.66098343900012,100000,0
IPOP_CMAES,F1,10,17,0.0,6.671200469000041,100000,0
IPOP_CMAES,F1,10,18,0.0,6.372711978000098,100000,0
IPOP_CMAES,F1,10,19,0.0,6.290320364000081,100000,0
IPOP_CMAES,F1,10,20,0.0,6.554018013999894,100000,0
