Algorithm,Dimension,mean,std
BIPOP_CMAES,10,14.06115314204598,6.865888411869875
CMAES,10,17.209793561550374,6.835922963287589
IPOP_CMAES,10,13.32964427430359,6.862046705311493
L-SHADE-DGR,10,8.25077812479378,6.102909213913123
LSHADE,10,7.608825332104797,6.1303252576178
TEMOA_V10,10,9.26636191371197,6.176151096558539
TEMOA_V11,10,8.543513073923597,6.163004554015585
TEMOA_V12,10,8.198744645639623,6.084569140953638
jSO,10,7.574027264161599,6.10862671804217
sepCMAES,10,15.647347441436121,6.89322627891546
