Algorithm,Function,Dimension,Run,Best
N1-off,F2,20,0,49.08447897948122
N1-off,F2,20,1,49.08447897948122
N1-off,F2,20,2,49.08447897948122
N1-off,F2,20,3,49.08447897948122
N1-off,F2,20,4,49.08447897948122
N1-off,F2,20,5,49.08447897948122
N1-off,F2,20,6,49.08447897948122
N1-off,F2,20,7,49.08447897948122
N1-off,F2,20,8,49.08447897948122
N1-off,F2,20,9,49.08447897948122
N1-off,F2,20,10,49.08447897948122
N1-off,F2,20,11,49.08447897948122
N1-off,F2,20,12,44.89546931745133
N1-off,F2,20,13,44.89546931745133
N1-off,F2,20,14,49.08447897948122
N1-off,F2,20,15,49.08447897948122
N1-off,F2,20,16,49.08447897948122
N1-off,F2,20,17,44.89546931745133
N1-off,F2,20,18,44.89546931745133
N1-off,F2,20,19,49.08447897948122
N1-off,F2,20,20,49.08447897948122
N1-off,F2,20,21,49.08447897948122
N1-off,F2,20,22,49.08447897948122
N1-off,F2,20,23,49.08447897948122
N1-off,F2,20,24,49.08447897948122
N1-off,F2,20,25,49.08447897948122
N1-off,F2,20,26,49.08447897948122
N1-off,F2,20,27,49.08447897948122
N1-off,F2,20,28,49.08447897948122
N1-off,F2,20,29,49.08447897948122
ACE-SHADE,F3,20,0,0.0
ACE-SHADE,F3,20,1,0.0
ACE-SHADE,F3,20,2,0.0
ACE-SHADE,F3,20,3,0.0
ACE-SHADE,F3,20,4,0.0
ACE-SHADE,F3,20,5,0.0
ACE-SHADE,F3,20,6,0.0
ACE-SHADE,F3,20,7,0.0
ACE-SHADE,F3,20,8,0.0
ACE-SHADE,F3,20,9,0.0
ACE-SHADE,F3,20,10,0.0
ACE-SHADE,F3,20,11,0.0
ACE-SHADE,F3,20,12,0.0
ACE-SHADE,F3,20,13,0.0
ACE-SHADE,F3,20,14,0.0
ACE-SHADE,F3,20,15,0.0
ACE-SHADE,F3,20,16,0.0
ACE-SHADE,F3,20,17,0.0
ACE-SHADE,F3,20,18,0.0
ACE-SHADE,F3,20,19,0.0
ACE-SHADE,F3,20,20,0.0
ACE-SHADE,F3,20,21,0.0
ACE-SHADE,F3,20,22,0.0
ACE-SHADE,F3,20,23,0.0
ACE-SHADE,F3,20,24,0.0
ACE-SHADE,F3,20,25,0.0
ACE-SHADE,F3,20,26,0.0
ACE-SHADE,F3,20,27,0.0
ACE-SHADE,F3,20,28,0.0
ACE-SHADE,F3,20,29,0.0
N1-off,F4,20,0,20.000000000000117
N1-off,F4,20,1,20.000000000000117
N1-off,F4,20,2,18.00000003340915
N1-off,F4,20,3,14.000000000000114
N1-off,F4,20,4,18.000000032187472
N1-off,F4,20,5,12.00000000000034
N1-off,F4,20,6,22.00000000010982
N1-off,F4,20,7,18.000000232019033
N1-off,F4,20,8,24.00000000644036
N1-off,F4,20,9,20.000000000008185
N1-off,F4,20,10,20.00000000001421
N1-off,F4,20,11,18.00000000008231
N1-off,F4,20,12,22.000000000757268
N1-off,F4,20,13,22.000000000074465
N1-off,F4,20,14,22.00000000001762
N1-off,F4,20,15,18.000000000001933
N1-off,F4,20,16,20.000000000003183
N1-off,F4,20,17,18.00000000000057
N1-off,F4,20,18,24.000000125137376
N1-off,F4,20,19,22.000000013292265
N1-off,F4,20,20,20.000000284450152
N1-off,F4,20,21,18.000000000089244
N1-off,F4,20,22,20.000000014845117
N1-off,F4,20,23,18.000000000002274
N1-off,F4,20,24,18.00000000000159
N1-off,F4,20,25,18.0000000000025
N1-off,F4,20,26,20.00000000528132
N1-off,F4,20,27,20.0
N1-off,F4,20,28,22.00000000000034
N1-off,F4,20,29,20.000000000000117
cmu-population,F2,20,0,49.08447897948122
cmu-population,F2,20,1,49.08447897948122
cmu-population,F2,20,2,49.08447897948116
cmu-population,F2,20,3,49.08447897948116
cmu-population,F2,20,4,49.08447897948122
cmu-population,F2,20,5,49.08447897948122
cmu-population,F2,20,6,49.08447897948122
cmu-population,F2,20,7,49.08447897948122
cmu-population,F2,20,8,49.08447897948122
cmu-population,F2,20,9,49.08447897948116
cmu-population,F2,20,10,49.08447897948122
cmu-population,F2,20,11,49.08447897948122
cmu-population,F2,20,12,49.08447897948122
cmu-population,F2,20,13,49.08447897948122
cmu-population,F2,20,14,49.08447897948122
cmu-population,F2,20,15,49.08447897948122
cmu-population,F2,20,16,49.08447897948116
cmu-population,F2,20,17,49.08447897948116
cmu-population,F2,20,18,49.08447897948122
cmu-population,F2,20,19,49.08447897948122
cmu-population,F2,20,20,49.08447897948122
cmu-population,F2,20,21,49.08447897948116
cmu-population,F2,20,22,49.08447897948122
cmu-population,F2,20,23,49.08447897948122
cmu-population,F2,20,24,49.08447897948122
cmu-population,F2,20,25,49.08447897948122
cmu-population,F2,20,26,49.08447897948122
cmu-population,F2,20,27,49.08447897948122
cmu-population,F2,20,28,49.08447897948122
cmu-population,F2,20,29,49.08447897948122
N1-off,F8,20,0,1.020026557056099
N1-off,F8,20,1,0.7636969581308222
N1-off,F8,20,2,0.8142406329038749
N1-off,F8,20,3,21.01636956972516
N1-off,F8,20,4,0.9932392642517698
N1-off,F8,20,5,2.627579524279554
N1-off,F8,20,6,4.368802940402929
N1-off,F8,20,7,1.1028611848337275
N1-off,F8,20,8,1.3413457835840743
N1-off,F8,20,9,17.605208214306003
N1-off,F8,20,10,1.1559785265735627
N1-off,F8,20,11,0.7684246395665468
N1-off,F8,20,12,20.74629637944281
N1-off,F8,20,13,1.041271881443663
N1-off,F8,20,14,1.130963855839127
N1-off,F8,20,15,20.28593084516297
N1-off,F8,20,16,4.60130754755528
N1-off,F8,20,17,5.555384819168921
N1-off,F8,20,18,0.9650875873494442
N1-off,F8,20,19,0.9992595111734772
N1-off,F8,20,20,0.9122679223542036
N1-off,F8,20,21,0.9239243585261648
N1-off,F8,20,22,1.579164505697463
N1-off,F8,20,23,3.1719324867040086
N1-off,F8,20,24,9.8663648220313
N1-off,F8,20,25,1.3354475586356784
N1-off,F8,20,26,1.5475987916606757
N1-off,F8,20,27,0.9584570233000704
N1-off,F8,20,28,0.8579573384618016
N1-off,F8,20,29,0.7732015955712086
ACE-SHADE,F4,10,0,4.000029536358625
ACE-SHADE,F4,10,1,2.000000008004463
ACE-SHADE,F4,10,2,4.000000000011255
ACE-SHADE,F4,10,3,8.000009962856893
ACE-SHADE,F4,10,4,2.0
ACE-SHADE,F4,10,5,6.0
ACE-SHADE,F4,10,6,2.0
ACE-SHADE,F4,10,7,2.0
ACE-SHADE,F4,10,8,4.000036389514662
ACE-SHADE,F4,10,9,4.000032315721114
ACE-SHADE,F4,10,10,8.000008242364743
ACE-SHADE,F4,10,11,4.0
ACE-SHADE,F4,10,12,6.000035454415411
ACE-SHADE,F4,10,13,4.000067616254569
ACE-SHADE,F4,10,14,6.000001155228119
ACE-SHADE,F4,10,15,4.0
ACE-SHADE,F4,10,16,8.000000003347964
ACE-SHADE,F4,10,17,4.0
ACE-SHADE,F4,10,18,4.0
ACE-SHADE,F4,10,19,4.0
ACE-SHADE,F4,10,20,8.000000000271143
ACE-SHADE,F4,10,21,4.0
ACE-SHADE,F4,10,22,4.000000000000114
ACE-SHADE,F4,10,23,6.0
ACE-SHADE,F4,10,24,6.000129665218196
ACE-SHADE,F4,10,25,6.000000001708827
ACE-SHADE,F4,10,26,8.000000000000455
ACE-SHADE,F4,10,27,4.000000000010232
ACE-SHADE,F4,10,28,6.0000000030350975
ACE-SHADE,F4,10,29,6.000003052832653
N1-off,F4,10,0,8.0
N1-off,F4,10,1,8.000025623284728
N1-off,F4,10,2,10.00000000180512
N1-off,F4,10,3,10.000000896650818
N1-off,F4,10,4,6.00018369707584
N1-off,F4,10,5,16.00000178271887
N1-off,F4,10,6,6.000004289005005
N1-off,F4,10,7,8.0
N1-off,F4,10,8,6.000000245651904
N1-off,F4,10,9,6.000004377638675
N1-off,F4,10,10,8.000000012114242
N1-off,F4,10,11,14.000000000158934
N1-off,F4,10,12,8.0
N1-off,F4,10,13,6.000038950829548
N1-off,F4,10,14,8.00000000830596
N1-off,F4,10,15,10.000001707740012
N1-off,F4,10,16,6.000127590077227
N1-off,F4,10,17,10.000000236177812
N1-off,F4,10,18,12.000000079217102
N1-off,F4,10,19,12.0
N1-off,F4,10,20,10.000001612982487
N1-off,F4,10,21,8.000000000532395
N1-off,F4,10,22,6.000000000255568
N1-off,F4,10,23,10.0000093646222
N1-off,F4,10,24,10.000000000000114
N1-off,F4,10,25,6.000000064381766
N1-off,F4,10,26,10.000008512111776
N1-off,F4,10,27,8.000000990937679
N1-off,F4,10,28,8.000000810107167
N1-off,F4,10,29,8.000000004810772
N2-off,F4,10,0,6.0
N2-off,F4,10,1,8.000000000002956
N2-off,F4,10,2,6.0
N2-off,F4,10,3,6.0
N2-off,F4,10,4,8.0
N2-off,F4,10,5,4.0
N2-off,F4,10,6,6.0
N2-off,F4,10,7,6.0
N2-off,F4,10,8,6.0
N2-off,F4,10,9,6.0
N2-off,F4,10,10,4.0
N2-off,F4,10,11,6.0
N2-off,F4,10,12,4.0
N2-off,F4,10,13,6.0
N2-off,F4,10,14,8.0
N2-off,F4,10,15,4.0
N2-off,F4,10,16,4.0
N2-off,F4,10,17,8.0
N2-off,F4,10,18,8.0
N2-off,F4,10,19,6.0
N2-off,F4,10,20,10.0
N2-off,F4,10,21,4.0
N2-off,F4,10,22,6.0
N2-off,F4,10,23,6.0
N2-off,F4,10,24,6.0
N2-off,F4,10,25,6.0
N2-off,F4,10,26,4.0
N2-off,F4,10,27,8.0
N2-off,F4,10,28,4.0
N2-off,F4,10,29,4.0
cmu-population,F4,10,0,4.0
cmu-population,F4,10,1,4.000000000000114
cmu-population,F4,10,2,6.0
cmu-population,F4,10,3,8.0
cmu-population,F4,10,4,4.0
cmu-population,F4,10,5,6.0
cmu-population,F4,10,6,8.0000000000922
cmu-population,F4,10,7,6.0
cmu-population,F4,10,8,6.0
cmu-population,F4,10,9,2.0
cmu-population,F4,10,10,6.000000000000114
cmu-population,F4,10,11,2.0
cmu-population,F4,10,12,6.0
cmu-population,F4,10,13,4.0
cmu-population,F4,10,14,4.0
cmu-population,F4,10,15,2.0
cmu-population,F4,10,16,4.0
cmu-population,F4,10,17,6.0
cmu-population,F4,10,18,6.000163996599326
cmu-population,F4,10,19,6.0
cmu-population,F4,10,20,6.0
cmu-population,F4,10,21,2.0000000000001137
cmu-population,F4,10,22,6.00000000483783
cmu-population,F4,10,23,4.0
cmu-population,F4,10,24,8.00000000004502
cmu-population,F4,10,25,2.0
cmu-population,F4,10,26,6.00000140155214
cmu-population,F4,10,27,6.0
cmu-population,F4,10,28,6.0
cmu-population,F4,10,29,4.0
ACE-SHADE,F7,10,0,0.0143552760891907
ACE-SHADE,F7,10,1,0.0322763275476063
ACE-SHADE,F7,10,2,0.0376826288522806
ACE-SHADE,F7,10,3,0.008520124610186
ACE-SHADE,F7,10,4,0.5282673148221875
ACE-SHADE,F7,10,5,0.2206038194146913
ACE-SHADE,F7,10,6,0.0063698221060803
ACE-SHADE,F7,10,7,0.1978157310866208
ACE-SHADE,F7,10,8,0.0019544484132438
ACE-SHADE,F7,10,9,0.0125146684911214
ACE-SHADE,F7,10,10,0.0036027341914177
ACE-SHADE,F7,10,11,0.0322712305519417
ACE-SHADE,F7,10,12,0.0981860204212807
ACE-SHADE,F7,10,13,0.0004801084733117
ACE-SHADE,F7,10,14,0.0453554218727276
ACE-SHADE,F7,10,15,0.0463786871789579
ACE-SHADE,F7,10,16,0.1299962108637373
ACE-SHADE,F7,10,17,0.1591203970713195
ACE-SHADE,F7,10,18,2.4899396767875714
ACE-SHADE,F7,10,19,0.0559722060122567
ACE-SHADE,F7,10,20,0.0019130692774069
ACE-SHADE,F7,10,21,0.1916714317417245
ACE-SHADE,F7,10,22,0.0545678467115067
ACE-SHADE,F7,10,23,0.0182702781016814
ACE-SHADE,F7,10,24,0.0304200773869069
ACE-SHADE,F7,10,25,0.8468789444407321
