Function,Dimension,Algorithm,mean,std
Ackley,10,CBA-SHADE,0.0,
Ackley,10,CMA-ES,7.3181793875245145,
Ackley,10,DE,0.0,
Ackley,10,L-SHADE,0.0,
Ackley,10,LSHADE-cnEpSin,0.0,
Ackley,10,SHADE,1.4711115214893766e-07,
Ackley,10,jSO,0.0,
BentCigar,10,CBA-SHADE,0.0,
BentCigar,10,CMA-ES,1368093226.37142,
BentCigar,10,DE,0.0,
BentCigar,10,L-SHADE,0.0,
BentCigar,10,LSHADE-cnEpSin,0.0,
BentCigar,10,SHADE,1.4942107954740218e-07,
BentCigar,10,jSO,0.0,
Composition,10,CBA-SHADE,0.0,
Composition,10,CMA-ES,0.0,
Composition,10,DE,0.0,
Composition,10,L-SHADE,0.0,
Composition,10,LSHADE-cnEpSin,0.0,
Composition,10,SHADE,1.81181372526607e-07,
Composition,10,jSO,0.0,
DynamicSphere,10,CBA-SHADE,2.46308717413717e-05,
DynamicSphere,10,CMA-ES,251.7869018761424,
DynamicSphere,10,DE,0.0008081051882657036,
DynamicSphere,10,L-SHADE,0.2412638843243078,
DynamicSphere,10,LSHADE-cnEpSin,0.2225674494916414,
DynamicSphere,10,SHADE,0.4711326423835684,
DynamicSphere,10,jSO,0.09971903497158431,
Griewank,10,CBA-SHADE,0.027051681251646587,
Griewank,10,CMA-ES,10.748634131879836,
Griewank,10,DE,0.08112794302304838,
Griewank,10,L-SHADE,0.007434153086125828,
Griewank,10,LSHADE-cnEpSin,0.0,
Griewank,10,SHADE,0.09045753379615284,
Griewank,10,jSO,1.0864679300670588e-07,
Levy,10,CBA-SHADE,0.0,
Levy,10,CMA-ES,8.360993108143303,
Levy,10,DE,0.0,
Levy,10,L-SHADE,0.0,
Levy,10,LSHADE-cnEpSin,0.0,
Levy,10,SHADE,0.0,
Levy,10,jSO,0.0,
NoisyRastrigin,10,CBA-SHADE,0.0057449467084804695,
NoisyRastrigin,10,CMA-ES,29.18978933549071,
NoisyRastrigin,10,DE,4.704324630728648,
NoisyRastrigin,10,L-SHADE,0.01955635151993107,
NoisyRastrigin,10,LSHADE-cnEpSin,0.07637409109482185,
NoisyRastrigin,10,SHADE,3.7177467538655193,
NoisyRastrigin,10,jSO,0.1616719180988344,
NoisySphere,10,CBA-SHADE,0.0034556236821108406,
NoisySphere,10,CMA-ES,679.4575129938722,
NoisySphere,10,DE,0.003136063901992841,
NoisySphere,10,L-SHADE,0.0053694567231434495,
NoisySphere,10,LSHADE-cnEpSin,0.0049970816786424396,
NoisySphere,10,SHADE,0.006948170462771322,
NoisySphere,10,jSO,0.004061222873916261,
Rosenbrock,10,CBA-SHADE,0.0,
Rosenbrock,10,CMA-ES,0.0,
Rosenbrock,10,DE,5.82395970207426,
Rosenbrock,10,L-SHADE,0.0,
Rosenbrock,10,LSHADE-cnEpSin,0.0,
Rosenbrock,10,SHADE,0.4796811599417306,
Rosenbrock,10,jSO,0.0,
RotatedElliptic,10,CBA-SHADE,0.0,
RotatedElliptic,10,CMA-ES,217589.99620722522,
RotatedElliptic,10,DE,7974.306531085576,
RotatedElliptic,10,L-SHADE,0.0,
RotatedElliptic,10,LSHADE-cnEpSin,0.0,
RotatedElliptic,10,SHADE,1.3909977858078941,
RotatedElliptic,10,jSO,0.0,
Schwefel,10,CBA-SHADE,0.00012727566172543447,
Schwefel,10,CMA-ES,1904.148739657231,
Schwefel,10,DE,260.7052736423466,
Schwefel,10,L-SHADE,0.00012727566263492918,
Schwefel,10,LSHADE-cnEpSin,0.00012727566354442388,
Schwefel,10,SHADE,0.009837241639615968,
Schwefel,10,jSO,0.00012727566263492918,
Zakharov,10,CBA-SHADE,0.0,
Zakharov,10,CMA-ES,8.929768294039789,
Zakharov,10,DE,0.0,
Zakharov,10,L-SHADE,0.0,
Zakharov,10,LSHADE-cnEpSin,0.0,
Zakharov,10,SHADE,4.398708908225538e-06,
Zakharov,10,jSO,0.0,
