Function,Dimension,Algorithm,mean,std
Ackley,30,CBA-SHADE,0.0,0.0
Ackley,30,CMA-ES,5.075025692213185,4.367635462316088
Ackley,30,DE,0.0,0.0
Ackley,30,L-SHADE,0.0,0.0
Ackley,30,LSHADE-cnEpSin,0.0,0.0
Ackley,30,SHADE,0.0,0.0
Ackley,30,jSO,0.0,0.0
Ackley,50,CBA-SHADE,0.0,0.0
Ackley,50,CMA-ES,5.598010620840312,4.521548215096771
Ackley,50,DE,0.46986173311721874,0.6735914246262718
Ackley,50,L-SHADE,0.0,0.0
Ackley,50,LSHADE-cnEpSin,0.0,0.0
Ackley,50,SHADE,0.0,0.0
Ackley,50,jSO,0.0,0.0
Ackley,100,CBA-SHADE,0.0,0.0
Ackley,100,CMA-ES,7.767011371258113,2.3502551003386047
Ackley,100,DE,3.123485427745604,0.9690492924691447
Ackley,100,L-SHADE,8.525592809505156e-09,7.950530215564576e-09
Ackley,100,LSHADE-cnEpSin,1.1821330684706292e-07,3.798307176760819e-08
Ackley,100,SHADE,0.3740343396532454,0.5050348871661272
Ackley,100,jSO,0.0,0.0
BentCigar,30,CBA-SHADE,0.0,0.0
BentCigar,30,CMA-ES,880145654.9495767,1207082904.3324873
BentCigar,30,DE,0.0,0.0
BentCigar,30,L-SHADE,0.0,0.0
BentCigar,30,LSHADE-cnEpSin,0.0,0.0
BentCigar,30,SHADE,0.0,0.0
BentCigar,30,jSO,0.0,0.0
BentCigar,50,CBA-SHADE,0.0,0.0
BentCigar,50,CMA-ES,1732505680.0177689,1439729811.6496391
BentCigar,50,DE,0.00502948404344973,0.0275476186320971
BentCigar,50,L-SHADE,0.0,0.0
BentCigar,50,LSHADE-cnEpSin,0.0,0.0
BentCigar,50,SHADE,0.0,0.0
BentCigar,50,jSO,0.0,0.0
BentCigar,100,CBA-SHADE,0.0,0.0
BentCigar,100,CMA-ES,3289054593.1981993,2253605853.269942
BentCigar,100,DE,232.84470251980142,1275.3428256090308
BentCigar,100,L-SHADE,5.823630746073509e-05,5.450502185804213e-05
BentCigar,100,LSHADE-cnEpSin,0.0005287912644657909,0.0005027651368742508
BentCigar,100,SHADE,0.0,0.0
BentCigar,100,jSO,2.9742778219784856e-08,4.664286281371916e-08
Composition,30,CBA-SHADE,0.0,0.0
