Function,Dimension,CBA-SHADE,Eng yaxshi raqib,Raqib,Nisbat,p (Holm),Natija
Ackley,30,0.0,L-SHADE,0.0,inf,1.0,teng
Ackley,50,0.0,L-SHADE,0.0,inf,1.0,teng
Ackley,100,0.0,jSO,0.0,inf,1.0,teng
BentCigar,30,0.0,L-SHADE,0.0,inf,1.0,teng
BentCigar,50,0.0,L-SHADE,0.0,inf,1.0,teng
BentCigar,100,0.0,SHADE,0.0,inf,1.0,teng
Composition,30,0.0,L-SHADE,0.0,inf,1.0,teng
Composition,50,0.0,L-SHADE,0.0,inf,1.0,teng
Composition,100,0.0,jSO,0.0,inf,1.0,teng
DynamicSphere,30,0.0146529546948199,DE,0.4149879118891997,0.03530935305588416,1.8119156154972944e-10,yutdi
DynamicSphere,50,0.027513641421396,SHADE,1.921377131110201,0.014319750649628165,1.8119156154972944e-10,yutdi
DynamicSphere,100,0.3001679305946527,SHADE,3.005662300454196,0.09986748363224082,1.8119156154972944e-10,yutdi
Griewank,30,0.0,L-SHADE,0.0,inf,1.0,teng
Griewank,50,0.0,L-SHADE,0.0,inf,1.0,teng
Griewank,100,0.0012324275082832,L-SHADE,0.0,inf,0.1677046703874032,teng
Levy,30,0.0,L-SHADE,0.0,inf,1.0,teng
Levy,50,0.0,L-SHADE,0.0,inf,1.0,teng
Levy,100,0.1046723843694667,L-SHADE,0.0,inf,3.632158786223442e-07,YUTQAZDI
NoisyRastrigin,30,0.2006111121178923,L-SHADE,1.6453536603679753,0.12192583087153834,1.8119156154972944e-10,yutdi
NoisyRastrigin,50,0.6174676983363683,SHADE,12.051713241964942,0.05123484818625628,1.8119156154972944e-10,yutdi
NoisyRastrigin,100,13.523436025603065,SHADE,4.360068152661605,3.1016570273901976,1.8119156154972944e-10,YUTQAZDI
NoisySphere,30,0.013620056802291,jSO,0.0090244347224993,1.5092420989354722,8.645156312424597e-06,YUTQAZDI
NoisySphere,50,0.0260884213854389,SHADE,0.014736340277782,1.7703460217169693,3.9022004538305164e-09,YUTQAZDI
NoisySphere,100,0.0737349193941627,L-SHADE,0.0339064085944056,2.174660261904843,1.8119156154972944e-10,YUTQAZDI
Rosenbrock,30,0.4741166362308541,SHADE,0.7990658272824779,0.5933386462580499,0.000298631001897,yutdi
Rosenbrock,50,20.858941649038872,SHADE,13.547194525050273,1.5397240816516191,1.6969545800295962e-08,YUTQAZDI
Rosenbrock,100,77.00746395599225,SHADE,66.46739336620178,1.1585750554669718,0.0536852532867982,teng
RotatedElliptic,30,3634.30415374359,LSHADE-cnEpSin,3.830859031701818,948.6916964754743,1.8119156154972944e-10,YUTQAZDI
RotatedElliptic,50,48032.35717704313,LSHADE-cnEpSin,13365.899060363055,3.5936495525006933,8.764635641525013e-09,YUTQAZDI
RotatedElliptic,100,464290.6730331008,LSHADE-cnEpSin,497124.6087450557,0.9339523026332551,0.3255265867791521,teng
Schwefel,30,0.0003818269888142,L-SHADE,0.1450767041313762,0.0026318973201130305,7.2706823820358545e-12,yutdi
Schwefel,50,0.0006363783178433,SHADE,47.76660607483124,1.332266137657653e-05,1.032150601878929e-11,yutdi
Schwefel,100,72.39090567928676,SHADE,47.80717775541804,1.5142267140227206,0.0004981816723342,YUTQAZDI
Zakharov,30,0.0,L-SHADE,0.0,inf,1.0,teng
Zakharov,50,0.0,CMA-ES,0.0,inf,1.0,teng
Zakharov,100,0.050139361360001,CMA-ES,0.0,inf,7.2706823820358545e-12,YUTQAZDI
