Function,Dimension,L-SHADE,jSO,LSHADE-cnEpSin,SHADE,CMA-ES,DE
Ackley,30,1.0,1.0,1.0,1.0,7.828924563504087e-07,1.0
Ackley,50,1.0,1.0,1.0,1.0,7.833376166271582e-07,0.001566108868483564
Ackley,100,6.638854329248465e-06,1.0,7.270682382035855e-12,0.0006264435473934256,7.270682382035855e-12,7.270682382035855e-12
BentCigar,30,1.0,1.0,1.0,1.0,1.0061097433549323e-07,1.0
BentCigar,50,1.0,1.0,1.0,1.0,9.928409775019292e-11,1.0
BentCigar,100,7.270682382035855e-12,2.6597480366672437e-06,7.270682382035855e-12,1.0,1.829435515124667e-11,0.3216042428804411
Composition,30,1.0,1.0,1.0,1.0,0.00017589374226644977,1.0
Composition,50,1.0,1.0,1.0,1.0,2.871354567382096e-07,1.0
Composition,100,7.782954334556342e-09,1.0,7.270682382035855e-12,1.0,8.286230594734901e-11,0.06473157561849911
DynamicSphere,30,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,2.1327259187186813e-05,1.8119156154972944e-10
DynamicSphere,50,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.6979526017102318e-08,1.8119156154972944e-10
DynamicSphere,100,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,3.158889488129529e-10,1.8119156154972944e-10
Griewank,30,1.0,1.0,1.0,1.0,1.3236910951954816e-05,0.10784640435489748
Griewank,50,1.0,1.0,1.0,1.0,1.0203360723165347e-07,0.0015667719355679564
Griewank,100,0.16770467038740322,0.33790575750331886,0.16770467038740322,0.33790575750331886,1.193719419031502e-10,0.00036508856294176315
Levy,30,1.0,1.0,1.0,1.0,7.270682382035855e-12,7.674505024721568e-08
Levy,50,1.0,1.0,1.0,0.0005521909921414521,7.270682382035855e-12,2.283198866273829e-11
Levy,100,3.6321587862234414e-07,3.5390476164655973e-06,3.6321587862234414e-07,1.5018034609613969e-10,1.5018034609613969e-10,1.5018034609613969e-10
NoisyRastrigin,30,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10
NoisyRastrigin,50,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10
NoisyRastrigin,100,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10
NoisySphere,30,0.5201446121616038,8.645156312424597e-06,3.3167755342010066e-05,0.10931656774035325,1.8119156154972944e-10,0.16471434176477232
NoisySphere,50,3.360977179206785e-09,1.5389927121900198e-07,5.549982238473864e-08,3.902200453830516e-09,1.8119156154972944e-10,0.06567125768912659
NoisySphere,100,1.8119156154972944e-10,2.955633007208939e-10,2.1947383543751097e-08,1.0422589820495318e-09,1.8119156154972944e-10,4.067593034119431e-09
Rosenbrock,30,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,0.0002986310018970378,0.20432182558520984,3.2810086893296853e-10
Rosenbrock,50,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.696954580029596e-08,1.1062029097473907e-06,2.4304086978439356e-09
Rosenbrock,100,6.778897844187834e-09,1.7901918284202262e-08,1.7901918284202262e-08,0.05368525328679823,2.786326624227119e-09,1.8119156154972944e-10
RotatedElliptic,30,0.8999950372363642,0.5037616493238246,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10
RotatedElliptic,50,0.007696135967102802,0.007696135967102802,8.764635641525013e-09,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10
RotatedElliptic,100,2.6980218081044606e-10,1.8119156154972944e-10,0.32552658677915214,9.231820738222295e-10,1.8119156154972944e-10,1.8119156154972944e-10
Schwefel,30,7.270682382035855e-12,7.270682382035855e-12,7.270682382035855e-12,7.270682382035855e-12,7.270682382035855e-12,7.270682382035855e-12
Schwefel,50,1.032150601878929e-11,1.032150601878929e-11,1.032150601878929e-11,1.032150601878929e-11,1.032150601878929e-11,1.032150601878929e-11
Schwefel,100,1.8119156154972944e-10,1.8119156154972944e-10,1.8119156154972944e-10,0.0004981816723342355,1.8119156154972944e-10,1.8119156154972944e-10
Zakharov,30,1.0,1.0,1.0,1.0,1.0,7.270682382035855e-12
Zakharov,50,7.270682382035855e-12,7.270682382035855e-12,7.270682382035855e-12,7.270682382035855e-12,1.0,7.270682382035855e-12
Zakharov,100,1.6308659387301275e-10,7.114408303864015e-10,0.34028846509891686,0.004313275642459538,7.270682382035855e-12,1.5099296795810785e-10
