Config,Function,Dim,Run,Best
BASE (hozirgi),Schwefel,30,0,3336.276106818139
BASE (hozirgi),Schwefel,30,1,2684.6488777420363
BASE (hozirgi),Schwefel,30,2,3948.2434093786887
BASE (hozirgi),Schwefel,30,3,1756.8384012052538
BASE (hozirgi),Schwefel,30,4,2210.8764942695507
BASE (hozirgi),Schwefel,30,5,3395.3558354165125
BASE (hozirgi),Schwefel,30,6,1717.3671109587613
BASE (hozirgi),Schwefel,30,7,2210.909395747116
BASE (hozirgi),Schwefel,30,8,2428.0273106928435
BASE (hozirgi),Schwefel,30,9,2842.561212033079
BASE (hozirgi),Schwefel,30,10,2131.9094499016046
BASE (hozirgi),Schwefel,50,0,6712.173403317996
BASE (hozirgi),Schwefel,50,1,4066.6216144495484
BASE (hozirgi),Schwefel,50,2,5606.790542639723
BASE (hozirgi),Schwefel,50,3,5704.9006357089675
BASE (hozirgi),Schwefel,50,4,5271.297051610847
BASE (hozirgi),Schwefel,50,5,5448.433501078911
BASE (hozirgi),Schwefel,50,6,7146.4527420991435
BASE (hozirgi),Schwefel,50,7,5546.991010848036
BASE (hozirgi),Schwefel,50,8,6395.907276516849
BASE (hozirgi),Schwefel,50,9,6474.868902024569
BASE (hozirgi),Schwefel,50,10,7106.577011599031
BASE (hozirgi),Schwefel,100,0,13660.455059823482
BASE (hozirgi),Schwefel,100,1,16503.410886705755
BASE (hozirgi),Schwefel,100,2,16187.738171421024
BASE (hozirgi),Schwefel,100,3,8310.547343035047
BASE (hozirgi),Schwefel,100,4,8963.507874593888
BASE (hozirgi),Schwefel,100,5,13542.553310993524
BASE (hozirgi),Schwefel,100,6,16661.302333989126
BASE (hozirgi),Schwefel,100,7,18736.234211316056
BASE (hozirgi),Schwefel,100,8,8665.95151596296
BASE (hozirgi),Schwefel,100,9,17511.889503858045
BASE (hozirgi),Schwefel,100,10,14865.795111812244
BASE (hozirgi),NoisyRastrigin,50,0,53.75952257101028
BASE (hozirgi),NoisyRastrigin,50,1,55.75637964579591
BASE (hozirgi),NoisyRastrigin,50,2,72.6783295612858
BASE (hozirgi),NoisyRastrigin,50,3,64.70959368996455
BASE (hozirgi),NoisyRastrigin,50,4,51.77128073324666
BASE (hozirgi),NoisyRastrigin,50,5,58.7305391870422
BASE (hozirgi),NoisyRastrigin,50,6,106.48185945075886
BASE (hozirgi),NoisyRastrigin,50,7,40.843820581389686
BASE (hozirgi),NoisyRastrigin,50,8,55.747274362017905
BASE (hozirgi),NoisyRastrigin,50,9,61.72606244303495
BASE (hozirgi),NoisyRastrigin,50,10,86.59206824089989
BASE (hozirgi),NoisyRastrigin,100,0,132.38515676136342
BASE (hozirgi),NoisyRastrigin,100,1,161.24328941304913
BASE (hozirgi),NoisyRastrigin,100,2,144.38077621153406
BASE (hozirgi),NoisyRastrigin,100,3,122.46156148500587
BASE (hozirgi),NoisyRastrigin,100,4,112.52244465309937
BASE (hozirgi),NoisyRastrigin,100,5,155.2926286059742
BASE (hozirgi),NoisyRastrigin,100,6,162.25802772528027
BASE (hozirgi),NoisyRastrigin,100,7,146.32015230173084
BASE (hozirgi),NoisyRastrigin,100,8,158.29630660956693
BASE (hozirgi),NoisyRastrigin,100,9,97.59778180383077
BASE (hozirgi),NoisyRastrigin,100,10,140.35396390374262
-CR_FLOOR,Schwefel,30,0,2704.3858775803365
-CR_FLOOR,Schwefel,30,1,2191.1533508940793
-CR_FLOOR,Schwefel,30,2,2349.0958772325757
-CR_FLOOR,Schwefel,30,3,1973.9780705958274
-CR_FLOOR,Schwefel,30,4,2585.9257885210536
-CR_FLOOR,Schwefel,30,5,3099.20507314771
-CR_FLOOR,Schwefel,30,6,1539.698731814684
-CR_FLOOR,Schwefel,30,7,2013.4711152871696
-CR_FLOOR,Schwefel,30,8,1598.9287763443263
-CR_FLOOR,Schwefel,30,9,2112.1751594934176
-CR_FLOOR,Schwefel,30,10,2783.3613595508887
-CR_FLOOR,Schwefel,50,0,6435.433222685755
-CR_FLOOR,Schwefel,50,1,7837.056014717433
-CR_FLOOR,Schwefel,50,2,4480.9611513482305
-CR_FLOOR,Schwefel,50,3,6336.743034942341
-CR_FLOOR,Schwefel,50,4,6060.278733077299
-CR_FLOOR,Schwefel,50,5,3967.714768199141
-CR_FLOOR,Schwefel,50,6,5548.553190934523
-CR_FLOOR,Schwefel,50,7,6534.079361918886
-CR_FLOOR,Schwefel,50,8,6573.697726223094
-CR_FLOOR,Schwefel,50,9,6257.6427729795105
-CR_FLOOR,Schwefel,50,10,6909.260801701246
-CR_FLOOR,Schwefel,100,0,15121.370989909825
-CR_FLOOR,Schwefel,100,1,12634.37138988739
-CR_FLOOR,Schwefel,100,2,15635.588058701036
-CR_FLOOR,Schwefel,100,3,12714.383613192662
-CR_FLOOR,Schwefel,100,4,19129.097968771926
-CR_FLOOR,Schwefel,100,5,16957.76675574233
-CR_FLOOR,Schwefel,100,6,10462.49491742481
-CR_FLOOR,Schwefel,100,7,9494.960341606267
-CR_FLOOR,Schwefel,100,8,9989.965029984389
-CR_FLOOR,Schwefel,100,9,11451.572208582664
-CR_FLOOR,Schwefel,100,10,16859.352986386704
-CR_FLOOR,NoisyRastrigin,50,0,82.61076162717296
-CR_FLOOR,NoisyRastrigin,50,1,84.6248919806551
-CR_FLOOR,NoisyRastrigin,50,2,64.6964475610953
-CR_FLOOR,NoisyRastrigin,50,3,70.66892995800995
-CR_FLOOR,NoisyRastrigin,50,4,80.62481043303639
-CR_FLOOR,NoisyRastrigin,50,5,54.74887457553709
-CR_FLOOR,NoisyRastrigin,50,6,52.75241276631441
-CR_FLOOR,NoisyRastrigin,50,7,46.7881658740991
-CR_FLOOR,NoisyRastrigin,50,8,55.74978393682791
-CR_FLOOR,NoisyRastrigin,50,9,50.76485426889258
-CR_FLOOR,NoisyRastrigin,50,10,58.73843208779662
-CR_FLOOR,NoisyRastrigin,100,0,197.53266046001065
-CR_FLOOR,NoisyRastrigin,100,1,171.21745630953708
-CR_FLOOR,NoisyRastrigin,100,2,147.31765358683327
-CR_FLOOR,NoisyRastrigin,100,3,154.29533817719124
-CR_FLOOR,NoisyRastrigin,100,4,123.47138755542848
-CR_FLOOR,NoisyRastrigin,100,5,142.35967937768243
-CR_FLOOR,NoisyRastrigin,100,6,185.15521285560447
-CR_FLOOR,NoisyRastrigin,100,7,110.50311041054017
-CR_FLOOR,NoisyRastrigin,100,8,160.26278345051094
-CR_FLOOR,NoisyRastrigin,100,9,139.35562568745422
-CR_FLOOR,NoisyRastrigin,100,10,127.41201011639521
-(1+1)ES tail,Schwefel,30,0,3336.276106818139
-(1+1)ES tail,Schwefel,30,1,2684.6488777420363
-(1+1)ES tail,Schwefel,30,2,3948.2434093786887
-(1+1)ES tail,Schwefel,30,3,1756.8384012052538
-(1+1)ES tail,Schwefel,30,4,2210.8764942695507
-(1+1)ES tail,Schwefel,30,5,3395.3558354165125
-(1+1)ES tail,Schwefel,30,6,1717.3671109587613
-(1+1)ES tail,Schwefel,30,7,2210.909395747116
-(1+1)ES tail,Schwefel,30,8,2428.0273106928435
-(1+1)ES tail,Schwefel,30,9,2842.561212033079
-(1+1)ES tail,Schwefel,30,10,2131.9094499016046
-(1+1)ES tail,Schwefel,50,0,6712.173403317996
-(1+1)ES tail,Schwefel,50,1,4066.6216144495484
-(1+1)ES tail,Schwefel,50,2,5606.790542639723
-(1+1)ES tail,Schwefel,50,3,5704.9006357089675
