Alg,Function,Dim,Run,Best
A: pop6 (2-bosqich g'olibi),Ackley,30,0,1.1102230246251565e-14
A: pop6 (2-bosqich g'olibi),Ackley,30,1,7.549516567451064e-15
A: pop6 (2-bosqich g'olibi),Ackley,30,2,1.4654943925052066e-14
A: pop6 (2-bosqich g'olibi),Ackley,30,3,1.1102230246251565e-14
A: pop6 (2-bosqich g'olibi),Ackley,30,4,1.1102230246251565e-14
A: pop6 (2-bosqich g'olibi),Ackley,30,5,7.549516567451064e-15
A: pop6 (2-bosqich g'olibi),Ackley,30,6,7.549516567451064e-15
A: pop6 (2-bosqich g'olibi),Ackley,30,7,7.549516567451064e-15
A: pop6 (2-bosqich g'olibi),Ackley,30,8,7.549516567451064e-15
A: pop6 (2-bosqich g'olibi),Ackley,30,9,1.1102230246251565e-14
A: pop6 (2-bosqich g'olibi),Ackley,30,10,7.549516567451064e-15
A: pop6 (2-bosqich g'olibi),Ackley,30,11,7.549516567451064e-15
A: pop6 (2-bosqich g'olibi),Ackley,30,12,7.549516567451064e-15
A: pop6 (2-bosqich g'olibi),Ackley,30,13,1.1102230246251565e-14
A: pop6 (2-bosqich g'olibi),Ackley,30,14,1.1102230246251565e-14
A: pop6 (2-bosqich g'olibi),BentCigar,30,0,4.67005655890839e-22
A: pop6 (2-bosqich g'olibi),BentCigar,30,1,3.660314600225495e-22
A: pop6 (2-bosqich g'olibi),BentCigar,30,2,7.573064690121713e-23
A: pop6 (2-bosqich g'olibi),BentCigar,30,3,2.5559093329160782e-22
A: pop6 (2-bosqich g'olibi),BentCigar,30,4,1.135959703518257e-22
A: pop6 (2-bosqich g'olibi),BentCigar,30,5,5.174927538249837e-22
A: pop6 (2-bosqich g'olibi),BentCigar,30,6,5.174927538249837e-22
A: pop6 (2-bosqich g'olibi),BentCigar,30,7,5.36425415550288e-23
A: pop6 (2-bosqich g'olibi),BentCigar,30,8,1.931131495981037e-21
A: pop6 (2-bosqich g'olibi),BentCigar,30,9,4.0389678347315804e-22
A: pop6 (2-bosqich g'olibi),BentCigar,30,10,1.2937318845624594e-22
A: pop6 (2-bosqich g'olibi),BentCigar,30,11,3.534096855390133e-22
A: pop6 (2-bosqich g'olibi),BentCigar,30,12,2.6505726415425997e-22
A: pop6 (2-bosqich g'olibi),BentCigar,30,13,1.842779087218058e-21
