Config,r_N,eta,Function,Dimension,Run,Best
rn10_eta0.1,10.0,0.1,F1,10,0,0.0
rn10_eta0.1,10.0,0.1,F1,10,1,0.0
rn10_eta0.1,10.0,0.1,F1,10,2,0.0
rn10_eta0.1,10.0,0.1,F1,10,3,0.0
rn10_eta0.1,10.0,0.1,F1,10,4,0.0
rn10_eta0.1,10.0,0.1,F1,10,5,0.0
rn10_eta0.1,10.0,0.1,F1,10,6,0.0
rn10_eta0.1,10.0,0.1,F1,10,7,0.0
rn10_eta0.1,10.0,0.1,F1,10,8,0.0
rn10_eta0.1,10.0,0.1,F1,10,9,0.0
rn10_eta0.1,10.0,0.1,F1,30,0,0.0
rn10_eta0.1,10.0,0.1,F1,30,1,0.0
rn10_eta0.1,10.0,0.1,F1,30,2,0.0
rn10_eta0.1,10.0,0.1,F1,30,3,0.0
rn10_eta0.1,10.0,0.1,F1,30,4,0.0
rn10_eta0.1,10.0,0.1,F1,30,5,0.0
rn10_eta0.1,10.0,0.1,F1,30,6,0.0
rn10_eta0.1,10.0,0.1,F1,30,7,0.0
rn10_eta0.1,10.0,0.1,F1,30,8,0.0
rn10_eta0.1,10.0,0.1,F1,30,9,0.0
rn10_eta0.1,10.0,0.1,F3,10,0,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,1,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,2,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,3,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,4,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,5,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,6,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,7,0.0
rn10_eta0.1,10.0,0.1,F3,10,8,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,9,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,30,0,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,1,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,2,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,3,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,4,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,5,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,6,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,7,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,8,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,9,31.810711664704968
rn10_eta0.1,10.0,0.1,F4,10,0,0.0
rn10_eta0.1,10.0,0.1,F4,10,1,1.9899181141865936
rn10_eta0.1,10.0,0.1,F4,10,2,0.9949590570932968
rn10_eta0.1,10.0,0.1,F4,10,3,2.9848771712798907
rn10_eta0.1,10.0,0.1,F4,10,4,1.9899181141865936
rn10_eta0.1,10.0,0.1,F4,10,5,0.9949590570933536
rn10_eta0.1,10.0,0.1,F4,10,6,1.9899181141865936
rn10_eta0.1,10.0,0.1,F4,10,7,1.9899181141865936
rn10_eta0.1,10.0,0.1,F4,10,8,1.9899181141865936
rn10_eta0.1,10.0,0.1,F4,10,9,1.9899181141865936
rn10_eta0.1,10.0,0.1,F4,30,0,5.969754342559838
rn10_eta0.1,10.0,0.1,F4,30,1,7.959672456746375
rn10_eta0.1,10.0,0.1,F4,30,2,7.959672456746375
rn10_eta0.1,10.0,0.1,F4,30,3,9.949585533113918
rn10_eta0.1,10.0,0.1,F4,30,4,7.959672456746375
rn10_eta0.1,10.0,0.1,F4,30,5,5.969754342559781
rn10_eta0.1,10.0,0.1,F4,30,6,5.969754342559838
rn10_eta0.1,10.0,0.1,F4,30,7,6.964713399653078
rn10_eta0.1,10.0,0.1,F4,30,8,3.979836228373188
rn10_eta0.1,10.0,0.1,F4,30,9,5.969754342559781
rn10_eta0.1,10.0,0.1,F5,10,0,0.0
rn10_eta0.1,10.0,0.1,F5,10,1,0.0
rn10_eta0.1,10.0,0.1,F5,10,2,0.0
rn10_eta0.1,10.0,0.1,F5,10,3,0.0
rn10_eta0.1,10.0,0.1,F5,10,4,0.0
rn10_eta0.1,10.0,0.1,F5,10,5,0.0
rn10_eta0.1,10.0,0.1,F5,10,6,0.0
rn10_eta0.1,10.0,0.1,F5,10,7,0.0
rn10_eta0.1,10.0,0.1,F5,10,8,0.0
rn10_eta0.1,10.0,0.1,F5,10,9,0.0
rn10_eta0.1,10.0,0.1,F5,30,0,0.0
rn10_eta0.1,10.0,0.1,F5,30,1,0.0
rn10_eta0.1,10.0,0.1,F5,30,2,0.0
rn10_eta0.1,10.0,0.1,F5,30,3,0.0
rn10_eta0.1,10.0,0.1,F5,30,4,0.0
rn10_eta0.1,10.0,0.1,F5,30,5,0.0
rn10_eta0.1,10.0,0.1,F5,30,6,0.0
rn10_eta0.1,10.0,0.1,F5,30,7,2.6113582407560898e-08
rn10_eta0.1,10.0,0.1,F5,30,8,0.0
rn10_eta0.1,10.0,0.1,F5,30,9,0.0
rn10_eta0.1,10.0,0.1,F6,10,0,12.471205366975369
rn10_eta0.1,10.0,0.1,F6,10,1,12.471205366975369
rn10_eta0.1,10.0,0.1,F6,10,2,13.904870598828095
rn10_eta0.1,10.0,0.1,F6,10,3,11.365261151083928
rn10_eta0.1,10.0,0.1,F6,10,4,12.635065982637116
rn10_eta0.1,10.0,0.1,F6,10,5,11.529121766745677
rn10_eta0.1,10.0,0.1,F6,10,6,12.962786998598403
rn10_eta0.1,10.0,0.1,F6,10,7,11.692982382407536
rn10_eta0.1,10.0,0.1,F6,10,8,13.741043316352943
rn10_eta0.1,10.0,0.1,F6,10,9,12.307344751313622
rn10_eta0.1,10.0,0.1,F6,30,0,39.94248280708951
rn10_eta0.1,10.0,0.1,F6,30,1,35.904310760630324
rn10_eta0.1,10.0,0.1,F6,30,2,39.21719249372745
rn10_eta0.1,10.0,0.1,F6,30,3,39.01133225390299
rn10_eta0.1,10.0,0.1,F6,30,4,37.396063435319206
rn10_eta0.1,10.0,0.1,F6,30,5,37.43723548328421
rn10_eta0.1,10.0,0.1,F6,30,6,39.13484839779767
rn10_eta0.1,10.0,0.1,F6,30,7,36.62960107399226
rn10_eta0.1,10.0,0.1,F6,30,8,37.35489138735443
rn10_eta0.1,10.0,0.1,F6,30,9,37.478407531249104
rn10_eta0.1,10.0,0.1,F7,10,0,6.000000000001137
rn10_eta0.1,10.0,0.1,F7,10,1,8.000000000015461
rn10_eta0.1,10.0,0.1,F7,10,2,6.0
rn10_eta0.1,10.0,0.1,F7,10,3,4.0
rn10_eta0.1,10.0,0.1,F7,10,4,6.000000000004206
rn10_eta0.1,10.0,0.1,F7,10,5,8.0
rn10_eta0.1,10.0,0.1,F7,10,6,8.0
rn10_eta0.1,10.0,0.1,F7,10,7,4.0
rn10_eta0.1,10.0,0.1,F7,10,8,6.000000000707473
rn10_eta0.1,10.0,0.1,F7,10,9,6.0
rn10_eta0.1,10.0,0.1,F7,30,0,30.000000000000117
rn10_eta0.1,10.0,0.1,F7,30,1,36.00000000000068
rn10_eta0.1,10.0,0.1,F7,30,2,26.0
rn10_eta0.1,10.0,0.1,F7,30,3,26.0
rn10_eta0.1,10.0,0.1,F7,30,4,30.000000000000117
rn10_eta0.1,10.0,0.1,F7,30,5,24.000000000000117
rn10_eta0.1,10.0,0.1,F7,30,6,28.000000000000117
rn10_eta0.1,10.0,0.1,F7,30,7,28.0
rn10_eta0.1,10.0,0.1,F7,30,8,34.0
rn10_eta0.1,10.0,0.1,F7,30,9,26.000000000000117
rn10_eta0.1,10.0,0.1,F9,10,0,4.120118918966909
rn10_eta0.1,10.0,0.1,F9,10,1,6.896116852490195
rn10_eta0.1,10.0,0.1,F9,10,2,6.954830469853732
rn10_eta0.1,10.0,0.1,F9,10,3,7.021723237043261
rn10_eta0.1,10.0,0.1,F9,10,4,128.62076223647546
rn10_eta0.1,10.0,0.1,F9,10,5,15.369394749031017
rn10_eta0.1,10.0,0.1,F9,10,6,18.721900995683427
rn10_eta0.1,10.0,0.1,F9,10,7,3.727232892886605
rn10_eta0.1,10.0,0.1,F9,10,8,6.96417245360044
rn10_eta0.1,10.0,0.1,F9,10,9,3.6023240108961545
rn10_eta0.1,10.0,0.1,F9,30,0,1239.926984733629
rn10_eta0.1,10.0,0.1,F9,30,1,690.5186445265681
rn10_eta0.1,10.0,0.1,F9,30,2,705.4465631700623
rn10_eta0.1,10.0,0.1,F9,30,3,1157.4512767326669
rn10_eta0.1,10.0,0.1,F9,30,4,1160.3242524810594
rn10_eta0.1,10.0,0.1,F9,30,5,979.8121753239266
rn10_eta0.1,10.0,0.1,F9,30,6,923.0302093700338
rn10_eta0.1,10.0,0.1,F9,30,7,1059.574137894826
rn10_eta0.1,10.0,0.1,F9,30,8,1007.297220315446
rn10_eta0.1,10.0,0.1,F9,30,9,932.7117774002618
rn10_eta0.1,10.0,0.1,F10,10,0,0.9949590570932968
rn10_eta0.1,10.0,0.1,F10,10,1,0.0
rn10_eta0.1,10.0,0.1,F10,10,2,0.0
rn10_eta0.1,10.0,0.1,F10,10,3,0.0
rn10_eta0.1,10.0,0.1,F10,10,4,0.0
rn10_eta0.1,10.0,0.1,F10,10,5,0.0
rn10_eta0.1,10.0,0.1,F10,10,6,0.0
rn10_eta0.1,10.0,0.1,F10,10,7,0.0
rn10_eta0.1,10.0,0.1,F10,10,8,0.9949590570932968
rn10_eta0.1,10.0,0.1,F10,10,9,0.0
rn10_eta0.1,10.0,0.1,F10,30,0,1.9899181141867075
rn10_eta0.1,10.0,0.1,F10,30,1,0.0
rn10_eta0.1,10.0,0.1,F10,30,2,0.9949590570932968
rn10_eta0.1,10.0,0.1,F10,30,3,0.9949590570932968
rn10_eta0.1,10.0,0.1,F10,30,4,6.964708361834028
rn10_eta0.1,10.0,0.1,F10,30,5,1.9899181141865936
rn10_eta0.1,10.0,0.1,F10,30,6,3.986621104720712
rn10_eta0.1,10.0,0.1,F10,30,7,0.0
rn10_eta0.1,10.0,0.1,F10,30,8,1.9899181141865936
rn10_eta0.1,10.0,0.1,F10,30,9,0.0
rn10_eta0.1,10.0,0.1,F11,10,0,217.3478123752184
rn10_eta0.1,10.0,0.1,F11,10,1,0.2081429846455194
rn10_eta0.1,10.0,0.1,F11,10,2,249.69550885932608
rn10_eta0.1,10.0,0.1,F11,10,3,0.2081429846455194
rn10_eta0.1,10.0,0.1,F11,10,4,217.3478123752186
rn10_eta0.1,10.0,0.1,F11,10,5,0.0
rn10_eta0.1,10.0,0.1,F11,10,6,217.3478123752184
rn10_eta0.1,10.0,0.1,F11,10,7,0.2081429846455194
rn10_eta0.1,10.0,0.1,F11,10,8,0.0
rn10_eta0.1,10.0,0.1,F11,10,9,0.2081429846455194
rn10_eta0.1,10.0,0.1,F11,30,0,0.0
rn10_eta0.1,10.0,0.1,F11,30,1,52.32050897372165
rn10_eta0.1,10.0,0.1,F11,30,2,0.0693932123849663
rn10_eta0.1,10.0,0.1,F11,30,3,0.0
rn10_eta0.1,10.0,0.1,F11,30,4,0.0
rn10_eta0.1,10.0,0.1,F11,30,5,0.0693932123849663
rn10_eta0.1,10.0,0.1,F11,30,6,0.0693932123849663
rn10_eta0.1,10.0,0.1,F11,30,7,0.0693932123849663
rn10_eta0.1,10.0,0.1,F11,30,8,0.0693932123849663
rn10_eta0.1,10.0,0.1,F11,30,9,0.0
rn10_eta0.1,10.0,0.1,F15,10,0,1.587024460065095
rn10_eta0.1,10.0,0.1,F15,10,1,1.699043118534064
rn10_eta0.1,10.0,0.1,F15,10,2,1.4941613438234072
rn10_eta0.1,10.0,0.1,F15,10,3,233.5460562764852
rn10_eta0.1,10.0,0.1,F15,10,4,0.2373146379659374
rn10_eta0.1,10.0,0.1,F15,10,5,1.7011903136767614
rn10_eta0.1,10.0,0.1,F15,10,6,574.7852245514973
rn10_eta0.1,10.0,0.1,F15,10,7,1.271364606936913
rn10_eta0.1,10.0,0.1,F15,10,8,1.704910956437061
rn10_eta0.1,10.0,0.1,F15,10,9,1.468766090204781
rn10_eta0.1,10.0,0.1,F15,30,0,220.69980425946412
rn10_eta0.1,10.0,0.1,F15,30,1,3.3868887504070244
rn10_eta0.1,10.0,0.1,F15,30,2,6.460150389360251
rn10_eta0.1,10.0,0.1,F15,30,3,231.21799850237608
rn10_eta0.1,10.0,0.1,F15,30,4,3.545943172179932
