Config,r_N,eta,Function,Dimension,Run,Best
rn10_eta0.1,10.0,0.1,F1,10,0,0.0
rn10_eta0.1,10.0,0.1,F1,10,1,0.0
rn10_eta0.1,10.0,0.1,F1,10,2,0.0
rn10_eta0.1,10.0,0.1,F1,10,3,0.0
rn10_eta0.1,10.0,0.1,F1,10,4,0.0
rn10_eta0.1,10.0,0.1,F1,10,5,0.0
rn10_eta0.1,10.0,0.1,F1,10,6,0.0
rn10_eta0.1,10.0,0.1,F1,10,7,0.0
rn10_eta0.1,10.0,0.1,F1,10,8,0.0
rn10_eta0.1,10.0,0.1,F1,10,9,0.0
rn10_eta0.1,10.0,0.1,F1,30,0,0.0
rn10_eta0.1,10.0,0.1,F1,30,1,0.0
rn10_eta0.1,10.0,0.1,F1,30,2,0.0
rn10_eta0.1,10.0,0.1,F1,30,3,0.0
rn10_eta0.1,10.0,0.1,F1,30,4,0.0
rn10_eta0.1,10.0,0.1,F1,30,5,0.0
rn10_eta0.1,10.0,0.1,F1,30,6,0.0
rn10_eta0.1,10.0,0.1,F1,30,7,0.0
rn10_eta0.1,10.0,0.1,F1,30,8,0.0
rn10_eta0.1,10.0,0.1,F1,30,9,0.0
rn10_eta0.1,10.0,0.1,F3,10,0,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,1,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,2,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,3,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,4,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,5,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,6,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,7,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,8,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,10,9,3.986579112347158
rn10_eta0.1,10.0,0.1,F3,30,0,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,1,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,2,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,3,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,4,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,5,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,6,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,7,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,8,31.810711664704968
rn10_eta0.1,10.0,0.1,F3,30,9,31.810711664704968
rn10_eta0.1,10.0,0.1,F4,10,0,2.984877171987364
rn10_eta0.1,10.0,0.1,F4,10,1,0.9949590570932968
rn10_eta0.1,10.0,0.1,F4,10,2,0.9949590570932968
rn10_eta0.1,10.0,0.1,F4,10,3,1.9899181141865936
rn10_eta0.1,10.0,0.1,F4,10,4,2.9848772510283084
rn10_eta0.1,10.0,0.1,F4,10,5,3.979836228373188
rn10_eta0.1,10.0,0.1,F4,10,6,0.9949590570932968
rn10_eta0.1,10.0,0.1,F4,10,7,0.9949590570932968
rn10_eta0.1,10.0,0.1,F4,10,8,1.9899181141865936
rn10_eta0.1,10.0,0.1,F4,10,9,5.969754342559781
rn10_eta0.1,10.0,0.1,F4,30,0,9.949611942223214
rn10_eta0.1,10.0,0.1,F4,30,1,8.9546348234378
rn10_eta0.1,10.0,0.1,F4,30,2,6.964713415233689
rn10_eta0.1,10.0,0.1,F4,30,3,2.9849240283218705
rn10_eta0.1,10.0,0.1,F4,30,4,8.959347180694351
rn10_eta0.1,10.0,0.1,F4,30,5,6.964713432359872
rn10_eta0.1,10.0,0.1,F4,30,6,5.96976578426262
rn10_eta0.1,10.0,0.1,F4,30,7,7.95967249479861
rn10_eta0.1,10.0,0.1,F4,30,8,6.964717650049977
rn10_eta0.1,10.0,0.1,F4,30,9,5.969754364756227
rn10_eta0.1,10.0,0.1,F5,10,0,0.0
rn10_eta0.1,10.0,0.1,F5,10,1,0.0
rn10_eta0.1,10.0,0.1,F5,10,2,0.0
rn10_eta0.1,10.0,0.1,F5,10,3,0.0
rn10_eta0.1,10.0,0.1,F5,10,4,0.0
rn10_eta0.1,10.0,0.1,F5,10,5,0.0
rn10_eta0.1,10.0,0.1,F5,10,6,0.0
rn10_eta0.1,10.0,0.1,F5,10,7,0.0
rn10_eta0.1,10.0,0.1,F5,10,8,0.0
rn10_eta0.1,10.0,0.1,F5,10,9,0.0
rn10_eta0.1,10.0,0.1,F5,30,0,0.0
rn10_eta0.1,10.0,0.1,F5,30,1,0.0
rn10_eta0.1,10.0,0.1,F5,30,2,0.0
rn10_eta0.1,10.0,0.1,F5,30,3,3.8923360534681706e-08
rn10_eta0.1,10.0,0.1,F5,30,4,6.408140507119242e-08
rn10_eta0.1,10.0,0.1,F5,30,5,4.1371663428435574e-08
rn10_eta0.1,10.0,0.1,F5,30,6,0.0
rn10_eta0.1,10.0,0.1,F5,30,7,0.0
rn10_eta0.1,10.0,0.1,F5,30,8,0.0
rn10_eta0.1,10.0,0.1,F5,30,9,3.892387212545145e-08
rn10_eta0.1,10.0,0.1,F6,10,0,12.471208819396791
rn10_eta0.1,10.0,0.1,F6,10,1,12.798926598298976
rn10_eta0.1,10.0,0.1,F6,10,2,11.529121766745677
rn10_eta0.1,10.0,0.1,F6,10,3,11.529121846548604
rn10_eta0.1,10.0,0.1,F6,10,4,13.57714958286681
rn10_eta0.1,10.0,0.1,F6,10,5,15.010814814719538
rn10_eta0.1,10.0,0.1,F6,10,6,11.856842998069284
rn10_eta0.1,10.0,0.1,F6,10,7,11.201439975997346
rn10_eta0.1,10.0,0.1,F6,10,8,12.635065982637116
rn10_eta0.1,10.0,0.1,F6,10,9,11.856937874158804
rn10_eta0.1,10.0,0.1,F6,30,0,38.32721710306112
rn10_eta0.1,10.0,0.1,F6,30,1,37.47840799455162
rn10_eta0.1,10.0,0.1,F6,30,2,37.4784081021985
rn10_eta0.1,10.0,0.1,F6,30,3,39.86016135025318
rn10_eta0.1,10.0,0.1,F6,30,4,39.052514830948326
rn10_eta0.1,10.0,0.1,F6,30,5,39.052774341327904
rn10_eta0.1,10.0,0.1,F6,30,6,39.94252903126767
rn10_eta0.1,10.0,0.1,F6,30,7,38.20369560759559
rn10_eta0.1,10.0,0.1,F6,30,8,40.750554637692176
rn10_eta0.1,10.0,0.1,F6,30,9,42.369840298570125
rn10_eta0.1,10.0,0.1,F7,10,0,6.0
rn10_eta0.1,10.0,0.1,F7,10,1,2.0005216457491315
rn10_eta0.1,10.0,0.1,F7,10,2,6.0
rn10_eta0.1,10.0,0.1,F7,10,3,6.00000001251567
rn10_eta0.1,10.0,0.1,F7,10,4,4.000684165315079
rn10_eta0.1,10.0,0.1,F7,10,5,8.000072860091336
rn10_eta0.1,10.0,0.1,F7,10,6,6.00039512590979
rn10_eta0.1,10.0,0.1,F7,10,7,6.0
rn10_eta0.1,10.0,0.1,F7,10,8,4.000139040265253
rn10_eta0.1,10.0,0.1,F7,10,9,10.000009017151342
rn10_eta0.1,10.0,0.1,F7,30,0,34.00005214905252
rn10_eta0.1,10.0,0.1,F7,30,1,26.00004166963754
rn10_eta0.1,10.0,0.1,F7,30,2,32.00115876565019
rn10_eta0.1,10.0,0.1,F7,30,3,34.0002060905897
rn10_eta0.1,10.0,0.1,F7,30,4,26.000037850050266
rn10_eta0.1,10.0,0.1,F7,30,5,28.00088555090906
rn10_eta0.1,10.0,0.1,F7,30,6,26.002036583531662
rn10_eta0.1,10.0,0.1,F7,30,7,34.00000000000102
rn10_eta0.1,10.0,0.1,F7,30,8,36.00000000006639
rn10_eta0.1,10.0,0.1,F7,30,9,24.000000058537125
rn10_eta0.1,10.0,0.1,F9,10,0,6.892375886982336
rn10_eta0.1,10.0,0.1,F9,10,1,0.3259891067555145
rn10_eta0.1,10.0,0.1,F9,10,2,13.535349082113498
rn10_eta0.1,10.0,0.1,F9,10,3,0.1456883337759791
rn10_eta0.1,10.0,0.1,F9,10,4,15.098585615635784
rn10_eta0.1,10.0,0.1,F9,10,5,13.534933868690132
rn10_eta0.1,10.0,0.1,F9,10,6,6.960946678178516
rn10_eta0.1,10.0,0.1,F9,10,7,3.863043495036436
rn10_eta0.1,10.0,0.1,F9,10,8,3.69161125995106
rn10_eta0.1,10.0,0.1,F9,10,9,10.388144581370398
rn10_eta0.1,10.0,0.1,F9,30,0,1114.22585728782
rn10_eta0.1,10.0,0.1,F9,30,1,601.5259298129095
rn10_eta0.1,10.0,0.1,F9,30,2,479.130248804584
rn10_eta0.1,10.0,0.1,F9,30,3,982.3021085113032
rn10_eta0.1,10.0,0.1,F9,30,4,1028.509476481826
rn10_eta0.1,10.0,0.1,F9,30,5,917.6729001120112
rn10_eta0.1,10.0,0.1,F9,30,6,1254.5521527645217
rn10_eta0.1,10.0,0.1,F9,30,7,783.0723095823469
rn10_eta0.1,10.0,0.1,F9,30,8,842.0984283345115
rn10_eta0.1,10.0,0.1,F9,30,9,1244.6199802352255
rn10_eta0.1,10.0,0.1,F10,10,0,0.0
rn10_eta0.1,10.0,0.1,F10,10,1,3.701428610430071
rn10_eta0.1,10.0,0.1,F10,10,2,0.0
rn10_eta0.1,10.0,0.1,F10,10,3,0.0
rn10_eta0.1,10.0,0.1,F10,10,4,0.0
rn10_eta0.1,10.0,0.1,F10,10,5,3.701428610430071
rn10_eta0.1,10.0,0.1,F10,10,6,3.701428610430071
rn10_eta0.1,10.0,0.1,F10,10,7,0.0
rn10_eta0.1,10.0,0.1,F10,10,8,0.0
rn10_eta0.1,10.0,0.1,F10,10,9,3.701428610430071
rn10_eta0.1,10.0,0.1,F10,30,0,2.160612329723108
rn10_eta0.1,10.0,0.1,F10,30,1,7.830565693323479
rn10_eta0.1,10.0,0.1,F10,30,2,0.9949590570946611
rn10_eta0.1,10.0,0.1,F10,30,3,2.984877183700973
rn10_eta0.1,10.0,0.1,F10,30,4,1.5710060462635056
rn10_eta0.1,10.0,0.1,F10,30,5,4.907534932544536
rn10_eta0.1,10.0,0.1,F10,30,6,8.364589072867147
rn10_eta0.1,10.0,0.1,F10,30,7,12.015890853913902
rn10_eta0.1,10.0,0.1,F10,30,8,11.470335817948012
rn10_eta0.1,10.0,0.1,F10,30,9,5.839956777312636
rn10_eta0.1,10.0,0.1,F11,10,0,0.0
rn10_eta0.1,10.0,0.1,F11,10,1,0.2081429846455194
rn10_eta0.1,10.0,0.1,F11,10,2,0.2081429846455194
rn10_eta0.1,10.0,0.1,F11,10,3,0.2081429846455194
rn10_eta0.1,10.0,0.1,F11,10,4,109.88050492509774
rn10_eta0.1,10.0,0.1,F11,10,5,0.2081429846455194
rn10_eta0.1,10.0,0.1,F11,10,6,0.2081429846455194
rn10_eta0.1,10.0,0.1,F11,10,7,0.2081429846455194
rn10_eta0.1,10.0,0.1,F11,10,8,0.0
rn10_eta0.1,10.0,0.1,F11,10,9,0.2081429846455194
rn10_eta0.1,10.0,0.1,F11,30,0,0.0
rn10_eta0.1,10.0,0.1,F11,30,1,0.0
rn10_eta0.1,10.0,0.1,F11,30,2,0.0693932123849663
rn10_eta0.1,10.0,0.1,F11,30,3,52.32050897372187
rn10_eta0.1,10.0,0.1,F11,30,4,12.10999674720938
rn10_eta0.1,10.0,0.1,F11,30,5,0.0
rn10_eta0.1,10.0,0.1,F11,30,6,0.0693932123849663
rn10_eta0.1,10.0,0.1,F11,30,7,0.0693932123849663
rn10_eta0.1,10.0,0.1,F11,30,8,0.0693932123849663
rn10_eta0.1,10.0,0.1,F11,30,9,0.0693932123849663
rn10_eta0.1,10.0,0.1,F15,10,0,435.67862744484
rn10_eta0.1,10.0,0.1,F15,10,1,233.02470979108125
rn10_eta0.1,10.0,0.1,F15,10,2,0.7275747613352905
rn10_eta0.1,10.0,0.1,F15,10,3,0.6975022803580941
rn10_eta0.1,10.0,0.1,F15,10,4,1.4948110456375616
rn10_eta0.1,10.0,0.1,F15,10,5,233.03630384221012
rn10_eta0.1,10.0,0.1,F15,10,6,0.7267666428433586
rn10_eta0.1,10.0,0.1,F15,10,7,0.7270189793175632
rn10_eta0.1,10.0,0.1,F15,10,8,434.9909367370574
rn10_eta0.1,10.0,0.1,F15,10,9,234.0380276029277
rn10_eta0.1,10.0,0.1,F15,30,0,3.208180081500132
rn10_eta0.1,10.0,0.1,F15,30,1,3.276572772166901
