Algorithm,Function,Dimension,Run,Best
ACE-SHADE,F1,10,0,0.0
ACE-SHADE,F1,10,1,0.0
ACE-SHADE,F1,10,2,0.0
ACE-SHADE,F1,10,3,0.0
ACE-SHADE,F1,10,4,0.0
ACE-SHADE,F1,10,5,0.0
ACE-SHADE,F1,10,6,0.0
ACE-SHADE,F1,10,7,0.0
ACE-SHADE,F1,10,8,0.0
ACE-SHADE,F1,10,9,0.0
ACE-SHADE,F1,10,10,0.0
ACE-SHADE,F1,10,11,0.0
ACE-SHADE,F1,10,12,0.0
ACE-SHADE,F1,10,13,0.0
ACE-SHADE,F1,10,14,0.0
ACE-SHADE,F1,10,15,0.0
ACE-SHADE,F1,10,16,0.0
ACE-SHADE,F1,10,17,0.0
ACE-SHADE,F1,10,18,0.0
ACE-SHADE,F1,10,19,0.0
ACE-SHADE,F1,10,20,0.0
ACE-SHADE,F1,10,21,0.0
ACE-SHADE,F1,10,22,0.0
ACE-SHADE,F1,10,23,0.0
ACE-SHADE,F1,10,24,0.0
ACE-SHADE,F1,10,25,0.0
ACE-SHADE,F1,10,26,0.0
ACE-SHADE,F1,10,27,0.0
ACE-SHADE,F1,10,28,0.0
ACE-SHADE,F1,10,29,0.0
NL-SHADE-RSP,F1,10,0,0.0
NL-SHADE-RSP,F1,10,1,0.0
NL-SHADE-RSP,F1,10,2,0.0
NL-SHADE-RSP,F1,10,3,0.0
NL-SHADE-RSP,F1,10,4,0.0
NL-SHADE-RSP,F1,10,5,0.0
NL-SHADE-RSP,F1,10,6,0.0
NL-SHADE-RSP,F1,10,7,0.0
NL-SHADE-RSP,F1,10,8,0.0
NL-SHADE-RSP,F1,10,9,0.0
NL-SHADE-RSP,F1,10,10,0.0
NL-SHADE-RSP,F1,10,11,0.0
NL-SHADE-RSP,F1,10,12,0.0
NL-SHADE-RSP,F1,10,13,0.0
NL-SHADE-RSP,F1,10,14,0.0
NL-SHADE-RSP,F1,10,15,0.0
NL-SHADE-RSP,F1,10,16,0.0
NL-SHADE-RSP,F1,10,17,0.0
NL-SHADE-RSP,F1,10,18,0.0
NL-SHADE-RSP,F1,10,19,0.0
NL-SHADE-RSP,F1,10,20,0.0
NL-SHADE-RSP,F1,10,21,0.0
NL-SHADE-RSP,F1,10,22,0.0
NL-SHADE-RSP,F1,10,23,0.0
NL-SHADE-RSP,F1,10,24,0.0
NL-SHADE-RSP,F1,10,25,0.0
NL-SHADE-RSP,F1,10,26,0.0
NL-SHADE-RSP,F1,10,27,0.0
NL-SHADE-RSP,F1,10,28,0.0
NL-SHADE-RSP,F1,10,29,0.0
LSHADE-SPACMA,F1,10,0,0.0
LSHADE-SPACMA,F1,10,1,0.0
LSHADE-SPACMA,F1,10,2,0.0
LSHADE-SPACMA,F1,10,3,0.0
LSHADE-SPACMA,F1,10,4,0.0
LSHADE-SPACMA,F1,10,5,0.0
LSHADE-SPACMA,F1,10,6,0.0
LSHADE-SPACMA,F1,10,7,0.0
LSHADE-SPACMA,F1,10,8,0.0
LSHADE-SPACMA,F1,10,9,0.0
LSHADE-SPACMA,F1,10,10,0.0
LSHADE-SPACMA,F1,10,11,0.0
LSHADE-SPACMA,F1,10,12,0.0
LSHADE-SPACMA,F1,10,13,0.0
LSHADE-SPACMA,F1,10,14,0.0
LSHADE-SPACMA,F1,10,15,0.0
LSHADE-SPACMA,F1,10,16,0.0
LSHADE-SPACMA,F1,10,17,0.0
LSHADE-SPACMA,F1,10,18,0.0
LSHADE-SPACMA,F1,10,19,0.0
LSHADE-SPACMA,F1,10,20,0.0
LSHADE-SPACMA,F1,10,21,0.0
LSHADE-SPACMA,F1,10,22,0.0
LSHADE-SPACMA,F1,10,23,0.0
LSHADE-SPACMA,F1,10,24,0.0
LSHADE-SPACMA,F1,10,25,0.0
LSHADE-SPACMA,F1,10,26,0.0
LSHADE-SPACMA,F1,10,27,0.0
LSHADE-SPACMA,F1,10,28,0.0
LSHADE-SPACMA,F1,10,29,0.0
LSHADE-cnEpSin,F1,10,0,0.0
LSHADE-cnEpSin,F1,10,1,0.0
LSHADE-cnEpSin,F1,10,2,0.0
LSHADE-cnEpSin,F1,10,3,0.0
LSHADE-cnEpSin,F1,10,4,0.0
LSHADE-cnEpSin,F1,10,5,0.0
LSHADE-cnEpSin,F1,10,6,0.0
LSHADE-cnEpSin,F1,10,7,0.0
LSHADE-cnEpSin,F1,10,8,0.0
LSHADE-cnEpSin,F1,10,9,0.0
LSHADE-cnEpSin,F1,10,10,0.0
LSHADE-cnEpSin,F1,10,11,0.0
LSHADE-cnEpSin,F1,10,12,0.0
LSHADE-cnEpSin,F1,10,13,0.0
LSHADE-cnEpSin,F1,10,14,0.0
LSHADE-cnEpSin,F1,10,15,0.0
LSHADE-cnEpSin,F1,10,16,0.0
LSHADE-cnEpSin,F1,10,17,0.0
LSHADE-cnEpSin,F1,10,18,0.0
LSHADE-cnEpSin,F1,10,19,0.0
LSHADE-cnEpSin,F1,10,20,0.0
LSHADE-cnEpSin,F1,10,21,0.0
LSHADE-cnEpSin,F1,10,22,0.0
LSHADE-cnEpSin,F1,10,23,0.0
LSHADE-cnEpSin,F1,10,24,0.0
LSHADE-cnEpSin,F1,10,25,0.0
LSHADE-cnEpSin,F1,10,26,0.0
LSHADE-cnEpSin,F1,10,27,0.0
LSHADE-cnEpSin,F1,10,28,0.0
LSHADE-cnEpSin,F1,10,29,0.0
LSHADE-RSP,F1,10,0,0.0
