Function,Dimension,Algorithm,mean,std
F1,10,ACE-SHADE,0.0,0.0
F1,10,CMA-ES,0.0,0.0
F1,10,L-SHADE,0.0,0.0
F1,10,LSHADE-RSP,0.0,0.0
F1,10,LSHADE-SPACMA,0.0,0.0
F1,10,LSHADE-cnEpSin,0.0,0.0
F1,10,NL-SHADE-RSP,0.0,0.0
F1,10,jSO,0.0,0.0
F1,20,ACE-SHADE,0.0,0.0
F1,20,CMA-ES,0.0,0.0
F1,20,L-SHADE,0.0,0.0
F1,20,LSHADE-RSP,0.0,0.0
F1,20,LSHADE-SPACMA,0.0,0.0
F1,20,LSHADE-cnEpSin,0.0,0.0
F1,20,NL-SHADE-RSP,0.0,0.0
F1,20,jSO,0.0,0.0
F10,10,ACE-SHADE,225.70518393742907,17.254036316082317
F10,10,CMA-ES,367.66452271045665,284.7079457920122
F10,10,L-SHADE,221.0064659893058,0.4146326554799605
F10,10,LSHADE-RSP,220.87264974897934,1.632702903446565e-13
F10,10,LSHADE-SPACMA,225.4355653847702,16.925037976701894
F10,10,LSHADE-cnEpSin,220.96813337699137,0.2562985424912192
F10,10,NL-SHADE-RSP,220.87264974897946,2.1619576101429212e-13
F10,10,jSO,220.87264974897928,8.004148071095273e-14
F10,20,ACE-SHADE,409.4198080002481,24.339660951503475
F10,20,CMA-ES,1151.9562047393913,740.0692764584469
F10,20,L-SHADE,398.046445187007,1.7375565788315737
F10,20,LSHADE-RSP,396.56598271476616,1.0449469187029284e-13
F10,20,LSHADE-SPACMA,399.78687236349714,1.539729863964659
F10,20,LSHADE-cnEpSin,396.9456548119959,1.073576528665915
F10,20,NL-SHADE-RSP,396.4773871369674,0.3371612778062357
F10,20,jSO,396.5659827147661,0.0
F11,10,ACE-SHADE,0.0,0.0
F11,10,CMA-ES,183.22257628142214,342.5524440728075
F11,10,L-SHADE,0.0,0.0
F11,10,LSHADE-RSP,0.0,0.0
F11,10,LSHADE-SPACMA,0.0,0.0
F11,10,LSHADE-cnEpSin,0.0,0.0
F11,10,NL-SHADE-RSP,0.0,0.0
F11,10,jSO,0.0,0.0
F11,20,ACE-SHADE,0.0,0.0
F11,20,CMA-ES,57.9500510226954,269.872629059356
F11,20,L-SHADE,0.0,0.0
F11,20,LSHADE-RSP,0.0,0.0
F11,20,LSHADE-SPACMA,0.0,0.0
F11,20,LSHADE-cnEpSin,0.0,0.0
F11,20,NL-SHADE-RSP,0.0,0.0
F11,20,jSO,0.0,0.0
