Function,Dimension,NL-SHADE-RSP,LSHADE-SPACMA,LSHADE-cnEpSin,LSHADE-RSP,jSO,L-SHADE,CMA-ES
F1,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F2,10,2.5001145650281536e-05,1.0,0.1797914500314429,1.0,1.0,1.0,0.002980374859584494
F2,20,0.04356640470784077,0.998624612125989,0.998624612125989,2.6851855829726328e-08,0.0036693163622833914,0.5401237908070422,0.009062483478846958
F3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F3,20,1.0,1.0,1.0,1.0,1.0,1.0,0.07713049926454377
F4,10,6.286246751081579e-09,0.015550209174090357,2.1759555635443997e-07,1.0920478806215171e-05,8.56720511456567e-05,7.648979602049896e-08,1.985109392619641e-10
F4,20,2.2692782511871778e-10,0.15727615965809272,2.1540937683221845e-08,2.73379408416981e-07,5.854097094329512e-07,5.1533724120413555e-06,1.9380759906416553e-10
F5,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F5,20,1.0,1.0,1.0,1.0,1.0,1.0,0.00045956056454930766
F6,10,0.31118764341027494,0.003612277958285361,0.036735918942771,0.00010663629593593407,8.020056018976315e-05,0.012098932773902692,2.854015392777723e-10
F6,20,0.00021554053867618088,0.00021554053867618088,0.00021554053867618088,0.00021554053867618088,0.00021554053867618088,0.00021554053867618088,2.11390155141351e-10
F7,10,0.19851521647965137,0.00021765382864191016,0.19851521647965137,0.010503502061564644,0.00022429118452756431,0.00011977665234050446,3.482616508415386e-10
F7,20,1.6070512675670156e-05,0.055103878414156496,0.40353753915408586,0.003078915479329542,0.0006238526894549966,0.055103878414156496,2.11390155141351e-10
F8,10,7.645836962858183e-05,2.6522981179249707e-05,0.31118764341027494,8.530903674874725e-05,8.530903674874725e-05,8.530903674874725e-05,6.223693926309255e-09
F8,20,0.31118764341027494,0.09095228643993007,0.03486220747285127,3.0943478042457987e-05,0.0014330907424182377,0.05092845846522629,0.1270653014696148
F9,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0596222114281335e-10
F9,20,0.08567671755731598,0.05445800588480096,0.08567671755731598,1.0,1.0,0.00783278681307922,1.5395587157529307e-05
F10,10,5.4944746233701504e-08,0.5480195964577269,6.022069542379885e-07,1.4360775229581787e-08,4.198560791901636e-09,9.78321538399702e-07,0.14153505580432663
F10,20,2.5774367993880282e-11,0.04241004220320458,9.630148635254813e-10,1.4051707447391157e-11,8.39972700550614e-12,6.288184740227585e-06,5.983363716463726e-06
F11,10,1.0,1.0,1.0,1.0,1.0,1.0,3.2698956861168464e-07
F11,20,1.0,1.0,1.0,1.0,1.0,1.0,0.00020520936597752474
F12,10,3.608030193920158e-11,2.6702096374670935e-05,0.21189005662961502,9.194360090197025e-09,2.481244655732135e-10,1.8821194759065637e-08,1.0965006788197127e-06
F12,20,3.743766772625895e-10,1.2370107637897434e-06,8.837461873611337e-05,2.479716648606061e-06,1.2145169840621613e-07,1.7811843109947213e-08,0.005821342346704802
